id_nesreca,klas_nesreca,upravna_enota,cas_nesreca,naselje_ali_izven,kategorija_cesta,oznaka_cesta_ali_naselje,tekst_cesta_ali_naselje,oznaka_odsek_ali_ulica,tekst_odsek_ali_ulica,stacionazna_ali_hisna_st,opis_prizorisce,vzrok_nesreca,tip_nesreca,vreme_nesreca,stanje_promet,stanje_vozisce,stanje_povrsina_vozisce,x,y,x_wgs84,y_wgs84
036738,H,5564,"1995-01-01 15:30:00",D,V,64043,PERNICA,00000,"NI ULIC",NULL,C,PR,BT,O,R,MO,A,556102,159758,15.7271485845696,46.5795099965885
036744,B,5511,"1995-01-02 12:45:00",N,L,93117,IDRIJA-KOČEVŠE-KODER-VOJS,00000,"NI ODSEKOV",NULL,C,HI,BT,J,N,MO,A,423380,95390,14.0060339182733,45.998372031671
036755,L,5564,"1995-01-01 06:00:00",N,M,00003,"MEJA A-VIČ-ORMOŽ-MEJA RH",00246,MARIBOR(TEZNO)-HAJDINA,NULL,C,SV,ÈT,O,R,MO,A,555372,150260,15.716499936082,46.4941258818011
036756,B,5511,"1995-01-02 20:10:00",D,M,010-0,"MEJA I-ROBIČ - KALCE",01034,SP.IDRIJA-GODOVIČ,0001,K,SV,ÈT,J,N,PN,A,425085,96093,14.0279317718935,46.0048857243671
036764,B,5524,"1995-01-03 00:15:00",D,N,25001,LJUBLJANA,28067,"JADRANSKA ULICA",NULL,R,PD,ÈT,O,R,SP,A,460758,100064,14.4881741063497,46.0436029798011
036771,B,5558,"1995-01-01 21:40:00",N,M,001-1,"LJUBELJ - PODTABOR",00232,LJUBELJ-BISTRICA,NULL,C,HI,TO,J,N,PN,A,445715,139057,14.2893092945383,46.3933697139078
036772,B,5517,"1995-01-01 09:10:00",N,M,00002,"ŠKOFIJE - SEČOVLJE",00235,ŠKOFIJE-DEKANI,NULL,C,HI,OS,O,R,MO,A,405624,47563,13.7862220895103,45.5659023891951
036773,B,5524,"1995-01-02 21:00:00",D,N,25001,LJUBLJANA,27098,"PODUTIŠKA CESTA",NULL,R,PD,BT,M,R,SP,A,459609,102965,14.4730806534428,46.069636150781
036779,B,5524,"1995-01-01 06:05:00",D,N,25001,LJUBLJANA,25155,"STRELIŠKA ULICA",NULL,C,HI,TO,D,R,MO,A,NULL,NULL,NULL,NULL
036791,B,5537,"1995-01-02 20:40:00",D,N,37075,"NOVA GORICA",00009,"ERJAVČEVA ULICA",NULL,C,SV,NT,J,N,SU,A,395206,91022,13.6433519552523,45.9553398299897
036799,L,5518,"1995-01-02 10:10:00",D,M,00001,"KORENSKO SEDLO - BREGANA",00209,PODTABOR-KR(KIDRIČEVA),0000,C,HI,TO,J,N,MO,A,449933,123186,14.3458561908834,46.2509142368372
036882,L,5565,"1995-01-03 08:50:00",N,M,00010,"ŠENTILJ - DEKANI",00268,ŠENTILJ-PESNICA,NULL,C,VR,ÈT,J,N,SU,A,550668,170197,15.6573897276183,46.6738478863585
036941,B,5564,"1995-01-02 12:20:00",N,R,00361,"HOČE-POHORSKA VZPENJAČA",01332,"HOČE-POHORSKA VZPENJACA",NULL,C,SV,ÈT,J,N,MO,A,547266,149695,15.6108527730132,46.4896556978279
036976,B,5530,"1995-01-02 17:40:00",N,A,00A10,"ŠENTILJ - DEKANI",00053,VRHNIKA-LOGATEC,NULL,C,PR,BT,J,N,MO,A,443487,86619,14.266635436221,45.921422988184
036990,B,5502,"1995-01-03 15:23:00",N,R,00333,SOTESKA-OBREŽJE-MEJA,01207,"ČATEŽ OB SAVI-OBREŽJE",NULL,C,PD,OP,O,R,MO,A,551163,81123,15.6542524833091,45.8724516322061
037055,B,5540,"1995-01-02 22:55:00",N,M,00002,"ŠKOFIJE - SEČOVLJE",00239,VALETA-SEČOVLJE,NULL,C,SV,OP,J,R,SU,A,391890,39456,13.6121231258172,45.4909697476343
