ï»¿Date,Season,HomeTeam,AwayTeam,FT Result,HT Result,Referee,Premier League,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41,Extra_Feature_42
0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,1.0,6.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0
1.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
0.0,2.0,4.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0
0.0,2.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0
1.0,0.0,4.0,2.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,7.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,5.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0
2.0,4.0,2.0,3.0,0.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,4.0,3.0,0.0,2.0
2.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0
2.0,1.0,0.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0
2.0,0.0,1.0,1.0,3.0,6.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0
2.0,2.0,2.0,6.0,4.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0,3.0,1.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,5.0,1.0,1.0,1.0,2.0,6.0,3.0,2.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
3.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,1.0,4.0,5.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0
3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0
0.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,0.0,2.0,3.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0
1.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
4.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,4.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0
2.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,4.0,1.0,7.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,6.0,3.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,6.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,2.0,1.0,2.0,4.0,2.0
3.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,4.0,3.0
1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,5.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,7.0,4.0,1.0,0.0,3.0,8.0
0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,2.0,1.0
1.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,3.0
0.0,1.0,4.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0
