Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41
522.0,7.93,12.0,1.0,43.0,738.0,16.42,20.0,2.0,84.0,741.0,9.52,28.0,1.0,59.0,661.0,7.44,5.0,1.0,37.0,412.0,19.03,16.0,5.0,68.0,679.0,19.4,8.0,9.0,57.0,627.0,9.52,12.0,1.0,49.0,514.0,17.39,5.0,6.0,46.0,860.0,1.78,20.0,6.0,35.0,137.0,10.62,29.0,1.0,73.0
812.0,16.86,13.0,4.0,88.0,77.0,15.54,29.0,1.0,76.0,637.0,10.89,12.0,5.0,53.0,974.0,4.69,12.0,7.0,36.0,939.0,2.8,10.0,33.0,900.0,2.17,15.0,3.0,35.0,281.0,17.86,5.0,1.0,50.0,884.0,2.53,6.0,8.0,24.0,762.0,6.58,6.0,7.0,27.0,320.0,5.38,26.0,1.0,47.0,550.0
15.56,28.0,0.0,72.0,175.0,13.08,16.0,4.0,58.0,372.0,0.86,26.0,5.0,37.0,528.0,5.83,27.0,9.0,56.0,211.0,11.2,23.0,73.0,236.0,14.59,15.0,6.0,64.0,102.0,12.91,11.0,6.0,56.0,987.0,13.92,18.0,4.0,70.0,903.0,4.04,11.0,9.0,70.0,948.0,18.05,10.0,7.0,123.0,347.0,12.88
8.0,5.0,52.0,140.0,19.45,20.0,6.0,108.0,622.0,4.58,22.0,9.0,45.0,500.0,19.73,27.0,4.0,111.0,371.0,2.47,27.0,2.0,44.0,199.0,17.8,16.0,9.0,73.0,688.0,5.96,22.0,7.0,45.0,585.0,12.85,18.0,7.0,61.0,902.0,1.02,25.0,4.0,34.0,60.0,6.84,14.0,8.0,47.0,329.0,8.68
8.0,5.0,52.0,97.0,10.69,25.0,9.0,67.0,313.0,0.99,15.0,32.0,975.0,1.11,5.0,6.0,8.0,300.0,2.16,15.0,0.0,36.0,278.0,13.17,16.0,4.0,67.0,925.0,8.79,14.0,6.0,43.0,602.0,5.93,19.0,3.0,36.0,440.0,2.09,23.0,2.0,36.0,838.0,7.57,21.0,0.0,56.0,571.0,10.52,8.0
4.0,56.0,880.0,4.83,25.0,9.0,47.0,262.0,19.81,20.0,5.0,104.0,579.0,10.1,8.0,4.0,50.0,24.0,7.64,10.0,8.0,31.0,31.0,12.35,10.0,6.0,35.0,618.0,5.9,26.0,9.0,44.0,11.0,0.9,20.0,8.0,23.0,222.0,11.58,16.0,2.0,61.0,821.0,16.16,11.0,1.0,82.0,297.0,15.51,17.0
9.0,69.0,55.0,12.16,11.0,0.0,69.0,543.0,4.96,21.0,0.0,60.0,210.0,3.64,17.0,6.0,40.0,605.0,2.85,26.0,0.0,38.0,693.0,10.4,16.0,4.0,52.0,663.0,12.31,29.0,4.0,68.0,867.0,3.53,13.0,7.0,31.0,71.0,15.56,14.0,3.0,54.0,544.0,13.6,27.0,0.0,87.0,108.0,15.23,5.0
0.0,62.0,494.0,4.17,5.0,1.0,22.0,591.0,3.21,16.0,0.0,42.0,742.0,6.38,16.0,1.0,111.0,293.0,16.54,6.0,7.0,51.0,290.0,12.02,9.0,7.0,41.0,653.0,11.94,20.0,3.0,69.0,40.0,9.08,14.0,5.0,49.0,590.0,3.46,23.0,3.0,48.0,308.0,6.8,13.0,7.0,46.0,680.0,17.38,11.0
2.0,92.0,67.0,3.25,23.0,7.0,32.0,276.0,10.28,29.0,3.0,71.0,68.0,16.14,6.0,9.0,65.0,319.0,3.55,23.0,0.0,43.0,549.0,10.65,23.0,8.0,58.0,999.0,19.03,26.0,5.0,68.0,715.0,7.3,14.0,7.0,28.0,754.0,7.03,21.0,1.0,44.0,328.0,12.43,12.0,0.0,70.0,383.0,12.76,27.0
74.0,452.0,11.39,14.0,1.0,72.0,523.0,19.41,7.0,3.0,48.0,219.0,13.17,17.0,8.0,69.0,788.0,8.32,12.0,2.0,49.0,437.0,1.92,8.0,7.0,14.0,765.0,1.15,26.0,4.0,30.0,89.0,17.8,12.0,9.0,73.0,64.0,7.46,8.0,5.0,42.0,827.0,7.25,18.0,4.0,45.0,717.0,16.7,28.0,1.0
