index,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
2784.0,6999.0,35000000.0,97000.0,1e+42,8339.0,600.0,4008.0,870000.0,5397.0,8771.0,1365.0,7405.0,6118.0,2192.0,4321.0,5200.0,2391.0,6357.0,120000000.0,1494.0,1875.0,1655.0,9873.0,5561.0,9151.0,6234.0,6445.0,6436.0,9692.0,28000000000.0,9646.0,7096.0,5145.0,8028.0,8227.0,8322.0,7317.0,4291.0,7820.0,9869.0,5e+22,4248.0,9150.0,110000.0,9205.0,3730.0,8273.0,9e+79,6742.0
3493.0,7170.0,3442.0,4e+87,7023.0,500000000000000.0,81000000000.0,5.999999999999999e+40,9247.0,901.0,4.9999999999999996e+92,7769.0,2e+57,1557.0,2100.0,52.0,8153.0,2363.0,7298.0,1984.0,2460.0,1630.0,8029.0,3319.0,8598.0,1560.0,9861.0,3609.0,5269.0,6569.0,8111.0,441.0,1954.0,3929.0,4974.0,2175.0,94000.0,3262.0,4013.0,6e+84,536.0,4417.0,7425.0,7877.0,4033.0,3e+75,429.0,4006.0,4839.0,5901.0
6343.0,6736.0,7828.0,1893.0,8812.0,2603.0,6823.0,3e+92,3408.0,6448.0,7075.0,3245.0,4e+85,3938.0,2315.0,6518.0,2762.0,9.999999999999999e+91,7132.0,9334.0,6143.0,2230.0,3400.0,4546.0,8233.0,2349.0,5538.0,6927.0,7100000000.0,2953.0,2960.0,8478.0,6e+21,2282.0,3959.0,3075.0,922.0,4301.0,7951.0,7294.0,3117.0,9435.0,3626.0,9843.0,7696.0,9460.0,5160.0,8312.0,951.0,7906.0
3608.0,9e+57,9252.0,6177.0,450.0,6440.0,1754.0,2567.0,1729.0,4059.0,8593.0,4367.0,6713.0,9315.0,9800.0,3926.0,6934.0,8730.0,837.0,2553.0,4586.0,7971.0,6219.0,3e+46,1308.0,2869.0,4734.0,2910.0,7635.0,9032.0,3780.0,6712.0,3527.0,8865.0,710.0,2e+64,7452.0,8600.0,997.0,5731.0,6686.0,4580.0,7000000000.0,1670.0,6800.0,4807.0,760000000.0,7049.0,8686.0,2336.0
4.9999999999999995e+41,7351.0,766.0,9671.0,9382.0,6629.0,8572.0,2936.0,26.0,2918.0,2741.0,5883.0,6814.0,8295.0,9511.0,2548.0,1013.0,6892.0,1730.0,6976.0,8468.0,9112.0,9898.0,2452.0,1404.0,5630.0,3589.0,9372.0,2703.0,416.0,2360.0,2442.0,9236.0,4801.0,9379.0,868.0,6354.0,3198.0,4330.0,3352.0,4063.0,5996.0,9227.0,8574.0,4210.0,7000000000000000.0,1940.0,2324.0,6156.0,9350.0
5105.0,1364.0,7209.0,99000.0,6698.0,9e+66,4303.0,6563.0,8.999999999999999e+63,410.0,840000.0,1846.0,2577.0,4858.0,6900000000.0,6923.0,16000000.0,9529.0,4229.0,7420.0,1459.0,9397.0,7793.0,2837.0,5781.0,525.0,3476.0,7185.0,1910.0,1190.0,4016.0,1993.0,6244.0,3842.0,7975.0,695.0,1e+40,5180.0,65.0,3642.0,9445.0,5539.0,3511.0,656.0,9074.0,6535.0,1024.0,8187.0,6300000000.0,540.0
583.0,1429.0,5436.0,5354.0,7511.0,9527.0,2388.0,4e+20,9211.0,9649.0,8324.0,2e+67,3210.0,6515.0,7662.0,8000000000000000.0,3997.0,7e+36,71000000.0,33000.0,1352.0,53000000000.0,82.0,4845.0,7494.0,3965.0,20000000000000.0,6566.0,350000.0,2546.0,5785.0,1378.0,579.0,5126.0,79.0,6655.0,4022.0,3901.0,3364.0,5110.0,1027.0,7172.0,3065.0,703.0,8724.0,1141.0,1741.0,2879.0,3279.0,4705.0
590000.0,6097.0,2156.0,150000000.0,2277.0,2633.0,7444.0,2474.0,9462.0,6e+77,1828.0,2330.0,8216.0,880.0,330000.0,2584.0,1000000000000.0,2328.0,4112.0,7001.0,6735.0,1295.0,2657.0,1682.0,9000.0,710000.0,8862.0,5132.0,3063.0,2926.0,8469.0,63000.0,3694.0,5600.0,9990.0,8734.0,1274.0,1246.0,8214.0,1111.0,9826.0,72000000.0,2719.0,9197.0,8171.0,9518.0,5957.0,2756.0,7563.0,3129.0
5700000.0,2257.0,3769.0,14.0,8921.0,5072.0,5700.0,5302.0,1046.0,3984.0,4547.0,3000000000000.0,9232.0,647.0,5369.0,3332.0,3046.0,8024.0,6809.0,1242.0,1266.0,6169.0,2441.0,6931.0,693.0,2411.0,3216.0,4578.0,2911.0,5869.0,6069.0,4774.0,8270.0,8742.0,1372.0,7686.0,5201.0,7228.0,30000.0,6149.0,2583.0,7624.0,3339.0,1179.0,8074.0,1542.0,9226.0,6088.0,1517.0,6529.0
4687.0,5229.0,4693.0,9508.0,6837.0,4.0000000000000006e+72,3007.0,7500000000.0,8994.0,7471.0,4e+82,7791.0,1245.0,53000.0,9836.0,8e+68,8914.0,330.0,9108.0,230.0,4173.0,6460.0,2908.0,3833.0,1301.0,1546.0,4500.0,2686.0,3500.0,4300000000.0,2757.0,8669.0,7914.0,8400.0,408.0,8425.0,2440.0,1103.0,3678.0,6604.0,9e+78,9915.0,9e+21,9174.0,5129.0,5525.0,7173.0,4270.0,9203.0,8406.0
