Economy ISO3,Economy Name,Indicator ID,Fixed broadband - All subscriptions,Fixed broadband - All subscriptions per 100 inhabitants,Fixed broadband - Cable subscriptions,Fixed broadband - Cable subscriptions per 100 inhabitants,Fixed broadband - DSL subscriptions,Fixed broadband - DSL subscriptions per 100 inhabitants,Fixed broadband - Fibre/LAN subscriptions,Fixed broadband - Fibre/LAN subscriptions per 100 inhabitants,Fixed broadband - Other subscriptions,Fixed broadband - Other subscriptions per 100 inhabitants,Fixed broadband - Satellite subscriptions,Fixed broadband - Satellite subscriptions per 100 inhabitants,Fixed broadband - Terrestrial Fixed Wireless subscriptions,Fixed broadband - Terrestrial Fixed Wireless subscriptions per 100 inhabitants,Mobile broadband - All subscriptions,Mobile broadband - All subscriptions per 100 inhabitants,Mobile broadband - Data and Voice subscriptions,Mobile broadband - Data and Voice subscriptions per 100 inhabitants,Mobile broadband - Data only subscriptions,Mobile broadband - Data only subscriptions per 100 inhabitants,Mobile broadband - M2M subscriptions,Mobile broadband - M2M subscriptions per 100 inhabitants,"Mobile data usage per mobile broadband subscription, GB per month"
AUS,Australia,OECD.BROADBAND.BB-DATA-GB,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-P100-CAB,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-P100-DSL,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-P100-FIB,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-P100-OTH,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-P100-TOT,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-SUBS-CAB,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-SUBS-DSL,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-SUBS-FIB,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-SUBS-OTH,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BB-SUBS-TOT,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-P100-DEDI,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-P100-FIXW,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-P100-SAT,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-P100-STAN,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-P100-TOT,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-SUBS-DEDI,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-SUBS-FIXW,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-SUBS-SAT,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-SUBS-STAN,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,OECD.BROADBAND.BBW-SUBS-TOT,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-DATA-GB,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-M2M,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-P100-CAB,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-P100-DSL,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-P100-FIB,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-P100-M2M,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-P100-OTH,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-P100-TOT,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-SUBS-CAB,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-SUBS-DSL,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-SUBS-FIB,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-SUBS-OTH,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BB-SUBS-TOT,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BBW-P100-DEDI,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BBW-P100-FIXW,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BBW-P100-STAN,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BBW-P100-TOT,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BBW-SUBS-DEDI,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BBW-SUBS-FIXW,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BBW-SUBS-STAN,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,OECD.BROADBAND.BBW-SUBS-TOT,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,OECD.BROADBAND.BB-DATA-GB,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,OECD.BROADBAND.BB-M2M,,,,,,,,,,,,,,,,,,,,,,,
