index,Afghanistan,Aland Islands,Albania,Alderney,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua And Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia And Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Cook Islands,Costa Rica
32.15,125.01,42.82,0.0,27.6,0.0,121.14,224.46,0.0,0.0,40.36,36.91,71.46,137.58,109.08,41.75,58.59,114.56,36.16,46.93,56.24,118.62,0.0,0.0,108.79,74.38,43.04,0.0,63.66,64.6,42.13,0.0,119.26,77.66,0.0,0.0,26.95,10.02,111.31,18.09,123.25,0.0,20.21,51.47,78.42,36.19,41.96,0.0,50.9,83.85
2.55,0.0,84.66,90.3,25.51,134.75,165.89,32.92,31.82,45.93,21.15,33.72,30.87,58.05,83.91,64.57,13.59,0.0,0.0,57.77,126.13,111.7,0.0,0.0,0.0,20.07,7.25,40.6,130.01,17.4,103.02,59.69,139.14,31.88,120.6,0.0,40.26,142.95,0.0,76.11,35.0,77.7,43.68,108.13,70.34,126.81,86.09,33.47,29.9,55.15
112.53,140.64,108.83,87.2,12.91,36.87,120.74,104.07,52.44,51.89,35.6,281.83,53.0,176.8,35.11,32.51,76.15,34.84,0.0,33.34,50.47,178.83,80.43,195.55,106.51,16.75,29.25,86.32,52.96,0.0,78.04,0.0,94.35,56.0,49.7,48.48,14.28,47.77,88.24,31.73,57.92,0.0,42.23,18.54,19.87,68.25,0.0,28.36,134.19,99.69
123.9,25.14,7.04,11.37,0.0,18.89,59.26,0.0,122.3,160.38,30.57,0.0,49.62,44.91,13.71,41.24,39.16,37.95,93.75,62.54,112.17,184.27,20.45,96.1,73.36,55.66,20.5,0.0,0.0,0.0,46.16,0.0,0.0,0.0,0.0,147.37,21.72,58.05,34.19,0.0,108.8,46.37,75.25,85.89,10.77,28.41,123.08,107.47,0.0,101.41
17.98,0.0,19.73,134.51,165.31,5.22,101.65,23.92,23.52,46.07,259.09,50.92,0.0,45.35,33.55,52.08,0.0,0.0,0.0,10.33,47.67,132.31,125.05,153.02,57.92,74.23,44.66,0.0,0.0,15.11,44.49,0.0,0.0,20.74,22.32,28.76,25.33,71.81,55.52,83.79,47.54,54.41,84.71,33.71,75.44,42.86,36.36,77.81,69.23,52.71
70.38,68.12,43.76,75.28,38.79,55.14,49.99,50.42,47.47,62.16,63.7,70.45,35.0,62.95,58.3,47.3,35.36,59.31,70.7,63.73,61.16,43.44,48.19,34.53,54.34,49.87,69.25,15.89,32.16,39.55,75.82,39.14,52.94,69.08,46.04,74.54,66.02,46.19,66.9,73.64,36.16,73.81,42.74,46.42,39.4,37.57,52.64,40.58,52.16,72.86
76.37,56.45,49.1,55.64,83.57,43.44,73.57,44.56,36.87,79.04,53.68,39.86,40.88,73.9,60.77,54.65,79.77,53.44,62.16,75.07,72.18,36.34,41.92,76.14,39.95,48.18,33.65,21.41,27.75,78.49,66.28,74.26,55.67,54.11,49.67,57.47,52.53,79.57,68.25,53.03,43.57,32.61,77.07,74.32,59.78,54.62,44.24,81.86,59.2,67.19
46.17,63.72,62.8,53.16,32.75,19.13,44.23,87.84,67.72,64.68,79.52,35.59,43.89,51.03,45.91,52.92,57.09,72.55,37.14,61.51,52.71,46.47,55.87,55.52,76.38,47.53,64.59,93.38,52.34,38.05,49.14,36.45,49.05,63.5,73.36,36.91,51.87,49.25,33.38,33.51,0.0,46.53,59.17,64.03,67.05,81.94,56.31,73.24,57.24,57.32
19.89,39.84,32.77,56.92,70.99,68.17,38.52,84.05,45.71,53.09,67.82,61.3,72.81,92.65,59.98,39.08,62.22,100.0,57.94,80.65,82.56,76.23,49.82,62.75,55.01,42.9,72.48,68.09,69.2,76.17,36.13,35.86,25.36,75.36,18.57,63.51,57.9,54.5,47.12,51.74,73.69,31.5,82.89,55.6,46.46,62.49,57.93,54.84,39.02,29.01
55.23,58.74,51.24,51.12,81.52,45.88,53.13,84.43,51.88,50.74,48.2,40.06,71.97,58.35,46.18,19.26,59.0,0.0,62.87,34.07,54.39,39.31,24.24,79.72,48.21,100.0,54.43,0.0,75.56,36.58,77.08,30.56,68.0,58.07,78.7,73.35,77.83,48.31,39.52,66.6,42.2,71.88,48.5,75.76,47.37,51.39,70.61,73.28,45.98,0.0
