ï»¿Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Rounds,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.
1.0,0.0,5.0,5.0,0.0,0.0,2.0,-5.0,4.0,-1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,21.0,1.0,1.0,23.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.033333333,0.0,0.0,19.0,6.0,14.0,4.0,1.0,16.0,3.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,-10.0,4.0,-11.0,1.0,0.0,-9.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,23.0,-1.0,21.0,2.0,0.0,22.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.116666667,1.0,0.0,5.0,5.0,0.0,0.0,-11.0,18.0,-11.0,1.0,-1.0,-11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,4.0,-3.0,1.0,3.0,-1.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.116666667,36.0,17.0,2.0,5.0,0.0,0.0,2.0,3.0,-2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.633333333,-37.0,-4.0,25.0,43.0,16.0,4.0,5.0,31.0,-2.0,-4.0,0.0,-1.0,-1.0,0.0
0.0,-3.25,37.0,5.0,8.0,-2.0,7.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,4.133333333,1.0,0.0,5.0,5.0,-1.0,-1.0,7.0,26.0,6.0,3.0,-2.0,6.0,1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-0.733333333,-16.0,-3.0,-2.0,9.0,-3.0,1.0,0.0,-2.0,0.0,0.0,0.0,-2.0
0.0,0.0,0.0,-4.166666667,23.0,2.0,51.0,6.0,49.0,2.0,0.0,27.0,9.0,15.0,0.0,2.0,-4.0,0.0,0.0,-0.8,-13.0,-5.0,-38.0,-25.0,-39.0,1.0,0.0,-36.0,-1.0,-1.0,0.0,-1.0,0.0,-2.0,-2.0,-1.433333333,13.0,5.0,29.0,9.0,31.0,-2.0,0.0,27.0,1.0,1.0,0.0,-1.0,-1.0,2.0
2.0,0.35,0.0,1.0,5.0,5.0,0.0,0.0,-8.0,9.0,-12.0,2.0,2.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,-4.0,3.0,1.0,-2.0,2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-3.0,-14.0,-1.0,-10.0,11.0,-9.0,0.0,-1.0,-8.0,-2.0,0.0,0.0,-1.0
0.0,-1.0,0.0,-2.333333333,0.0,0.0,-9.0,-22.0,-14.0,4.0,1.0,-9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.183333333,0.0,-1.0,8.0,22.0,2.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183333333,0.0,1.0,5.0,5.0,-9.0,-2.0,-2.0,0.0,-7.0,5.0,0.0,7.0,-3.0,-6.0
0.0,-2.0,-1.0,0.0,0.0,-1.333333333,-46.0,-7.0,-13.0,-15.0,-11.0,1.0,-3.0,4.0,0.0,-17.0,0.0,-1.0,0.0,0.0,0.0,-3.2,-8.0,0.0,-6.0,-11.0,1.0,2.0,-9.0,0.0,-5.0,-1.0,0.0,0.0,-5.0,0.0,0.0,-0.866666667,1.0,0.0,-5.0,-7.0,2.0,-7.0,0.0,-6.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,-15.0,-1.0,1.0,-6.0,0.0,9.0,-8.0,6.0,0.0,-5.0,0.0,-2.0,-3.0,0.0,0.0,-1.033333333,0.0,1.0,5.0,5.0,-14.0,1.0,-8.0,9.0,-7.0,0.0,-1.0,-7.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-3.466666667,13.0,2.0,-1.0,6.0,-2.0,1.0,0.0,-2.0,0.0,1.0
0.0,-2.0,0.0,1.0,0.0,-3.95,-3.0,-1.0,-11.0,20.0,-11.0,-2.0,2.0,-7.0,-1.0,-3.0,0.0,-1.0,-1.0,0.0,0.0,-2.333333333,-24.0,-4.0,-7.0,-2.0,-2.0,-1.0,-4.0,-6.0,-1.0,0.0,0.0,-1.0,-3.0,1.0,0.0,-0.016666667,32.0,4.0,-6.0,4.0,-9.0,1.0,2.0,-6.0,0.0,0.0,0.0,-2.0
0.0,0.0,0.0,-1.966666667,0.0,1.0,5.0,5.0,-34.0,-2.0,-17.0,-11.0,-15.0,2.0,-4.0,-18.0,1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-1.583333333,-22.0,-1.0,-25.0,-9.0,-19.0,-3.0,-3.0,-23.0,-2.0,0.0,0.0,1.0,-2.0,0.0,0.0,-0.683333333,-46.0,-1.0,-2.0,-9.0,-7.0,5.0,0.0,-6.0,4.0,0.0
0.0,-1.0,1.0,0.0,0.0,-1.966666667,-6.0,0.0,-2.0,-2.0,1.0,-3.0,0.0,-3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.833333333,4.0,-3.0,-22.0,-7.0,-19.0,3.0,-6.0,-21.0,0.0,-1.0,0.0,-3.0,-1.0,0.0,0.0,-2.65,0.0,1.0,5.0,5.0,0.0,0.0,-3.0,5.0,-3.0,-2.0,2.0,-3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,4.0,2.0,-1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,22.0,-10.0,-10.0,-2.0,-21.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.083333333,0.0,0.0,8.0,0.0,1.0,3.0,4.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-39.0,12.0,-32.0,-4.0,-3.0,-16.0,-1.0,-22.0,-1.0,0.0,-1.0,-1.0,0.0,-1.9,0.0,1.0,5.0,5.0,0.0,2.0,2.0,4.0,-4.0,1.0,5.0,2.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,-0.65,4.0,0.0,-8.0,-2.0,-5.0,-3.0,0.0,-7.0
-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-0.716666667,-3.0,0.0,-5.0,8.0,0.0,-5.0,0.0,-5.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.416666667,-5.0,-2.0,14.0,29.0,8.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-15.0,-5.0,-6.0,-9.0,-3.0,-4.0,1.0,-6.0,0.0,0.0
0.0,-1.0,1.0,0.0,0.0,-2.6,0.0,1.0,5.0,5.0,-24.0,-7.0,-2.0,-11.0,-7.0,4.0,1.0,-6.0,5.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-0.916666667,-8.0,-3.0,-2.0,-4.0,-5.0,2.0,1.0,0.0,1.0,-3.0,0.0,-3.0,-1.0,0.0,0.0,-2.6,12.0,0.0,-2.0,-3.0,-2.0,-1.0,1.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,-1.0,0.0,-7.0,-3.0,-6.0,-1.0,0.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,-0.233333333,-25.0,-14.0,0.0,-6.0,0.0,0.0,0.0,-6.0,0.0,6.0,0.0,-1.0,-2.0,0.0,1.0,-2.6,1.0,0.0,5.0,5.0,2.0,1.0,14.0,-7.0,12.0,3.0
-1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.466666667,0.0,1.0,15.0,-10.0,9.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.116666667,4.0,8.0,3.0,0.0,4.0,-1.0,0.0,2.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,3.733333333,4.0,1.0,-17.0,1.0,-13.0,-4.0,0.0,-17.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233333333,-13.0,-5.0,7.0,-24.0,9.0,0.0,-2.0,9.0,-2.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.616666667,1.0,0.0,5.0,5.0,0.0,0.0,-7.0,20.0,1.0,-1.0,-7.0,-6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666667,0.0,0.0,-7.0,28.0,10.0,-5.0
-12.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,21.0,-2.0,-8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-7.0,-15.0,3.0,2.0,-9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,31.0,-10.0,-4.0,15.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,-4.0,0.0,-9.0,0.0,-12.0,-4.0,7.0,-8.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-0.233333333,-15.0,-3.0,-24.0,-7.0,-31.0,1.0,6.0,-20.0,-4.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.433333333,-4.0,-3.0,-37.0,0.0,-35.0,-4.0
2.0,-33.0,-4.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-1.133333333,0.0,0.0,4.0,5.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-1.0,-27.0,19.0,-21.0,-2.0,-4.0,-24.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.816666667,1.0,0.0,5.0,5.0,2.0,0.0,13.0,7.0
5.0,5.0,3.0,5.0,0.0,8.0,0.0,2.0,3.0,0.0,0.0,1.866666667,-1.0,-2.0,-5.0,10.0,-7.0,1.0,1.0,-10.0,4.0,1.0,0.0,3.0,2.0,0.0,-1.0,1.2,-1.0,0.0,12.0,0.0,-2.0,11.0,3.0,4.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,1.883333333,-7.0,-1.0,8.0,20.0,9.0,-2.0
