customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,No,Yes,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31
593.3,0.0,542.4,0.0,280.85,0.0,1237.85,1.0,267.4,1.0,571.45,0.0,7904.25,1.0,5377.8,0.0,340.35,1.0,5957.9,0.0,2460.55,0.0,8456.75,0.0,351.5,0.0,7261.25,0.0,2560.1,0.0,6849.4,0.0,1993.2,0.0,72.1,1.0,2791.5,1.0,25.1,1.0,1306.3,1.0,1215.6,0.0,1849.95,0.0,57.2,0.0,76.35,0.0
30.5,0.0,5656.75,0.0,1090.6,0.0,471.85,0.0,1396.9,0.0,3247.55,0.0,900.9,0.0,7942.15,0.0,1343.4,0.0,825.4,0.0,1070.15,0.0,4959.6,0.0,5597.65,0.0,224.5,0.0,1929.0,0.0,91.1,1.0,2078.95,0.0,630.6,0.0,1611.0,0.0,1242.45,0.0,6316.2,0.0,727.85,0.0,3532.0,0.0,44.3,0.0,2607.6,0.0
5567.55,0.0,3767.4,0.0,3673.6,1.0,4036.85,0.0,1120.3,1.0,314.55,0.0,1888.45,0.0,529.8,0.0,7308.95,1.0,6252.7,0.0,2878.55,0.0,1212.1,0.0,8182.85,0.0,19.85,0.0,99.75,0.0,2861.45,1.0,1442.2,0.0,4059.35,0.0,4145.9,0.0,3645.5,0.0,187.75,0.0,2317.1,0.0,1448.8,0.0,2193.65,1.0,1748.9,0.0
511.25,0.0,5526.75,0.0,1553.95,0.0,1147.0,0.0,6747.35,0.0,865.05,0.0,5976.9,0.0,181.65,0.0,3268.05,1.0,1052.4,0.0,7634.25,1.0,80.2,0.0,63.75,0.0,190.5,0.0,2401.05,1.0,511.25,0.0,3949.15,1.0,2362.1,0.0,70.9,0.0,1152.7,0.0,8496.7,0.0,470.2,0.0,1564.4,0.0,1847.55,0.0,3694.7,1.0
58.0,0.0,4017.45,0.0,6825.65,0.0,8309.55,0.0,605.45,1.0,1972.35,0.0,33.7,0.0,844.45,0.0,2111.3,1.0,6205.5,1.0,855.3,0.0,633.85,0.0,474.9,1.0,5848.6,0.0,6471.85,1.0,8127.6,0.0,676.35,0.0,864.2,0.0,6049.5,0.0,1582.75,0.0,198.1,0.0,1098.85,0.0,4039.3,0.0,2438.6,0.0,7113.75,0.0
576.65,0.0,371.9,0.0,167.3,0.0,219.5,0.0,273.4,1.0,2555.05,1.0,223.15,0.0,165.5,0.0,89.3,1.0,235.05,0.0,1144.6,0.0,4908.25,0.0,2298.9,1.0,3789.2,0.0,75.9,0.0,4765.0,0.0,2196.3,0.0,85.55,0.0,1444.65,0.0,5405.8,0.0,6339.3,0.0,3847.6,0.0,6733.0,0.0,19.7,0.0,50.1,0.0
6140.85,1.0,3870.3,0.0,7624.2,0.0,4354.45,0.0,3431.75,0.0,2227.1,0.0,2045.55,0.0,1929.35,1.0,268.45,0.0,181.5,0.0,651.4,0.0,3486.65,0.0,1389.6,0.0,2303.35,1.0,1522.7,0.0,6717.9,0.0,8058.55,0.0,58.85,0.0,538.5,0.0,5102.35,0.0,465.7,0.0,475.1,0.0,3364.55,0.0,113.85,0.0,5036.3,0.0
1234.8,0.0,355.9,1.0,1510.3,0.0,1982.6,0.0,4524.05,0.0,95.45,0.0,318.1,0.0,1231.85,0.0,2554.0,0.0,4684.3,0.0,614.45,0.0,842.9,0.0,2531.8,0.0,86.05,0.0,402.6,0.0,453.4,0.0,326.65,0.0,7382.85,1.0,422.6,0.0,6010.05,0.0,6046.1,0.0,178.8,0.0,314.6,0.0,2274.35,0.0,322.9,0.0
888.75,0.0,80.55,0.0,973.35,0.0,168.6,0.0,5424.25,0.0,2331.3,0.0,89.5,0.0,48.55,0.0,121.25,0.0,6851.65,1.0,740.3,0.0,6982.5,0.0,3835.55,0.0,70.1,0.0,315.3,0.0,6157.6,0.0,330.15,0.0,233.7,1.0,3462.1,0.0,4390.25,0.0,5360.75,1.0,4443.45,0.0,2424.5,0.0,577.6,0.0,4854.3,0.0
320.45,0.0,5885.4,0.0,426.65,0.0,2911.3,1.0,521.9,0.0,5706.3,1.0,471.7,0.0,4539.6,0.0,830.25,0.0,3067.2,0.0,3432.9,0.0,6263.8,0.0,1742.5,0.0,1468.75,0.0,3382.3,0.0,46.35,0.0,1992.2,0.0,373.0,0.0,50.15,0.0,1414.45,0.0,122.7,0.0,34.7,0.0,3366.05,0.0,1943.2,0.0,1271.8,0.0
7965.95,0.0,1460.65,0.0,272.2,0.0,3563.8,0.0,5398.6,0.0,3343.15,1.0,198.7,0.0,5897.4,0.0,2511.55,0.0,1398.6,0.0,967.85,0.0,139.4,0.0,70.45,1.0,7589.8,0.0,1790.15,0.0,44.4,0.0,1284.2,0.0,3474.2,0.0,5574.75,1.0,1430.95,0.0,7542.25,0.0,3545.35,0.0,1709.1,0.0,1421.9,0.0,229.55,0.0
5373.1,1.0,5742.9,0.0,6526.65,0.0,2674.15,0.0,170.5,0.0,3175.85,0.0,44.4,0.0,4297.95,0.0,215.2,0.0,4036.0,1.0,4428.45,0.0,295.95,0.0,4947.55,0.0,447.9,1.0,20.9,0.0,516.3,0.0,1850.65,0.0,749.25,0.0,2598.95,0.0,237.65,0.0,4707.1,0.0,5714.2,0.0,1294.6,1.0,3753.2,0.0,3263.9,0.0
2139.1,0.0,5042.75,0.0,1036.0,0.0,6431.05,1.0,2145.0,0.0,2404.85,0.0,2651.1,0.0,5538.35,0.0,200.2,0.0,450.4,0.0,5435.0,0.0,1900.25,0.0,1334.5,0.0,67.1,0.0,503.25,0.0,1460.85,0.0,2807.1,0.0,6312.9,1.0,3001.2,0.0,3365.85,0.0,2715.3,0.0,1743.05,0.0,1784.5,0.0,4735.35,1.0,2010.95,0.0
996.45,0.0,1715.1,0.0,5238.9,0.0,225.75,0.0,3721.9,0.0,5943.65,0.0,477.6,0.0,69.5,0.0,1119.35,0.0,1558.7,0.0,79.7,0.0,343.95,1.0,1712.9,0.0,2467.75,1.0,1397.65,0.0,349.65,1.0,917.45,0.0,135.75,0.0,1087.7,0.0,71.1,0.0,6029.0,1.0,2278.75,0.0,70.45,0.0,2799.0,0.0,459.95,1.0
