index,3D glasses,3D glasses,bandage,beak,birthday shades,birthday shades,birthday shades,birthday shades,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,browline glasses,browline glasses,browline glasses,browline glasses,bubblegum,bubblegum,bubblegum,bubblegum,bubblegum,bunny nose,bunny nose,bunny nose,butterfly shades,butterfly shades,butterfly shades,candy-skull mask,candy-skull mask,candy-skull mask,cat nose,cat nose,cat nose,cucumber pack,curly mustache,cyber shades,cyber shades,cyber shades,cyber shades,cyber shades,cyber shades,DAL eye mask,DAL sunglasses,doctor's mask,dog nose,dog nose
490.0,490.0,140.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,1040.0,140.0,140.0,140.0,140.0,140.0,560.0,560.0,560.0,1040.0,1040.0,1040.0,560.0,560.0,560.0,490.0,700.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,140.0,560.0,560.0,560.0,1100.0,1100.0,1100.0,1100.0,560.0,560.0,560.0,560.0,560.0
560.0,560.0,560.0,560.0,560.0,140.0,560.0,490.0,770.0,770.0,770.0,770.0,770.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,980.0,560.0,560.0,560.0,560.0,560.0,560.0,1120.0,1040.0,1040.0,1040.0,1040.0,1040.0,2000.0,1760.0,1760.0,1760.0,1760.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,880.0,880.0,880.0,880.0,880.0,880.0
910.0,910.0,910.0,910.0,910.0,910.0,1100.0,1100.0,1100.0,1560.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,1300.0,1300.0,1320.0,1320.0,1320.0,1320.0,770.0,490.0,560.0,560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1040.0,1040.0
1040.0,630.0,630.0,630.0,630.0,630.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,880.0,880.0,880.0,880.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1300.0,1300.0,1300.0,1300.0,1300.0,880.0,880.0,880.0,880.0,770.0,770.0,880.0,880.0,880.0,880.0,880.0,1300.0,1300.0,490.0,1040.0,1100.0,1100.0,1100.0,1040.0,1040.0
1040.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,1560.0,1560.0,122.0,122.0,35.0,122.0,620.0,620.0,620.0,620.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,260.0,260.0,260.0,260.0,35.0,35.0,35.0,35.0,35.0,140.0,140.0,140.0,260.0,260.0,260.0,800.0,800.0,800.0,140.0,140.0,140.0,122.0,175.0,325.0,325.0
325.0,325.0,325.0,325.0,1010.0,1010.0,35.0,140.0,140.0,140.0,275.0,275.0,275.0,275.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,35.0,140.0,122.0,192.0,192.0,192.0,192.0,192.0,122.0,275.0,275.0,275.0,275.0,275.0,275.0,245.0,140.0,140.0,140.0,140.0,140.0,140.0,280.0,260.0,260.0,260.0
260.0,260.0,500.0,440.0,440.0,440.0,440.0,500.0,500.0,500.0,500.0,500.0,500.0,220.0,220.0,220.0,220.0,220.0,220.0,100.0,227.0,227.0,227.0,227.0,227.0,227.0,275.0,275.0,275.0,390.0,2000.0,122.0,275.0,275.0,275.0,275.0,275.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,140.0,140.0,140.0,140.0,140.0,140.0
140.0,140.0,140.0,325.0,325.0,330.0,330.0,330.0,330.0,192.0,122.0,140.0,140.0,390.0,390.0,390.0,390.0,390.0,390.0,260.0,260.0,260.0,157.0,157.0,157.0,157.0,157.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,220.0,220.0,220.0,220.0,245.0,10.0,245.0,245.0,245.0,245.0,245.0,245.0,325.0,325.0,325.0
325.0,325.0,220.0,220.0,220.0,220.0,192.0,192.0,220.0,220.0,220.0,220.0,220.0,325.0,325.0,122.0,260.0,275.0,275.0,275.0,260.0,260.0,260.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,390.0,390.0,400.0,4463.0,11020.0,4677.0,3549.0,4510.0,11217.0,11218.0,11219.0,4597.0,11081.0,11082.0,11083.0,11084.0,11085.0,11086.0,4238.0,11069.0
11070.0,11071.0,5738.0,11027.0,11028.0,11029.0,11030.0,4600.0,11023.0,11024.0,4608.0,11503.0,11504.0,5666.0,11169.0,11170.0,4483.0,11021.0,11022.0,4491.0,4672.0,4552.0,11498.0,11499.0,11500.0,11501.0,11502.0,12128.0,12129.0,4451.0,5244.0,11025.0,11026.0,4263.0,11076.0,11077.0,11078.0,5773.0,11010.0,11011.0,11012.0,4425.0,11154.0,11155.0,11156.0,11157.0,11158.0,4457.0,4512.0,4496.0
