Campaign_ID,Platform,Content_Type,Target_Age,Target_Gender,Canada,Germany,India,UK,US,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40
39677.0,17408.0,44572.0,31165.0,43386.0,26356.0,17412.0,9640.0,39156.0,6395.0,34854.0,517.0,763.0,17740.0,23433.0,34799.0,19608.0,9024.0,44911.0,4043.0,9960.0,37832.0,21618.0,12788.0,45336.0,29224.0,23997.0,46452.0,6838.0,27450.0,7492.0,19218.0,22787.0,19557.0,44457.0,40074.0,1115.0,18130.0,484.0,5630.0,49256.0,16582.0,45553.0,47302.0,24171.0,28121.0,27580.0,2911.0,5156.0,21608.0
40921.0,31767.0,34916.0,27828.0,32706.0,19869.0,45515.0,34866.0,7643.0,27336.0,41043.0,29399.0,10444.0,44362.0,25389.0,38513.0,11193.0,21934.0,26954.0,23903.0,45102.0,8817.0,13668.0,34678.0,8671.0,27062.0,22674.0,28412.0,22076.0,31803.0,46860.0,35606.0,38723.0,26192.0,32680.0,25416.0,43789.0,4835.0,6365.0,38659.0,29567.0,41655.0,35954.0,44338.0,12285.0,9304.0,44832.0,48133.0,49084.0,40394.0
40964.0,289.0,39181.0,41094.0,8087.0,36312.0,32096.0,43121.0,38760.0,6993.0,23149.0,46491.0,23624.0,20980.0,39849.0,8210.0,28743.0,38746.0,16950.0,32068.0,13316.0,34798.0,49789.0,13816.0,44697.0,40076.0,31077.0,5031.0,4242.0,48504.0,46527.0,24038.0,48236.0,40872.0,37844.0,1250.0,37778.0,25442.0,16716.0,26244.0,26429.0,43041.0,16848.0,15828.0,23422.0,17119.0,37605.0,43423.0,27812.0,21933.0
27366.0,21268.0,6496.0,27222.0,42779.0,7905.0,9448.0,22499.0,26834.0,1631.0,13503.0,16382.0,21333.0,35873.0,37333.0,17200.0,45545.0,25647.0,27572.0,41190.0,13907.0,23025.0,2300.0,9762.0,13396.0,45840.0,13645.0,30545.0,33863.0,32301.0,4460.0,47125.0,11361.0,17668.0,30455.0,504.0,40351.0,40258.0,17553.0,960.0,47040.0,18177.0,3061.0,35370.0,30918.0,39911.0,46371.0,5152.0,21645.0,18117.0
1736.0,19858.0,29405.0,47423.0,5859.0,2712.0,23161.0,27632.0,43188.0,43673.0,26657.0,40870.0,15354.0,8230.0,18371.0,35011.0,23609.0,21832.0,7339.0,3696.0,4655.0,23893.0,48847.0,11737.0,155.0,22777.0,21656.0,19631.0,18055.0,1424.0,35253.0,18170.0,36495.0,11016.0,10993.0,1779.0,42505.0,36009.0,42657.0,951.0,34950.0,34763.0,32579.0,14198.0,42456.0,42019.0,5226.0,1685.0,19298.0,19228.0
49826.0,38169.0,1267.0,37726.0,17606.0,32197.0,11384.0,38594.0,2205.0,21343.0,10829.0,28278.0,10261.0,4848.0,18484.0,12139.0,42389.0,11075.0,1367.0,46832.0,31943.0,11511.0,36686.0,40134.0,47130.0,8041.0,38310.0,40428.0,13873.0,43625.0,28174.0,1778.0,38188.0,39052.0,14589.0,47457.0,4711.0,38202.0,6646.0,39604.0,49112.0,5411.0,42207.0,10747.0,5340.0,7500.0,20250.0,25758.0,44231.0,15585.0
45074.0,18171.0,14920.0,11103.0,44582.0,26205.0,2793.0,28793.0,4288.0,24060.0,9368.0,47420.0,36020.0,35061.0,38258.0,19930.0,17314.0,8492.0,8308.0,21457.0,43225.0,23347.0,42775.0,21777.0,12863.0,45251.0,7214.0,21452.0,3520.0,49911.0,6831.0,15206.0,20545.0,21706.0,46992.0,4644.0,37714.0,8816.0,44164.0,16996.0,297.0,6290.0,44361.0,47380.0,46275.0,34449.0,26470.0,1834.0,38738.0,39453.0
45640.0,23676.0,20752.0,14469.0,10777.0,4100.0,22109.0,6688.0,46296.0,10592.0,44642.0,1642.0,33407.0,35340.0,41041.0,39750.0,4877.0,26836.0,17007.0,10727.0,24314.0,46314.0,30180.0,48802.0,30306.0,34221.0,47298.0,39199.0,10309.0,17309.0,26741.0,38045.0,9535.0,11937.0,49389.0,35843.0,8435.0,14473.0,37645.0,28395.0,44019.0,14278.0,39864.0,12115.0,33928.0,8533.0,29040.0,19878.0,27793.0,2533.0
41623.0,19362.0,2127.0,29849.0,45191.0,11211.0,7179.0,884.0,32582.0,42448.0,27269.0,109.0,21395.0,2969.0,6049.0,24207.0,49377.0,15283.0,38854.0,15187.0,23428.0,5744.0,47111.0,29692.0,11230.0,40541.0,3151.0,18024.0,798.0,30454.0,45759.0,604.0,3736.0,38865.0,46640.0,17259.0,30026.0,41706.0,39834.0,7258.0,20259.0,35647.0,46745.0,13423.0,35407.0,39484.0,40362.0,20180.0,40054.0,9107.0
46817.0,35347.0,24648.0,31389.0,2591.0,36768.0,26532.0,4599.0,20563.0,1162.0,37510.0,15808.0,37897.0,37320.0,25571.0,4737.0,8220.0,261.0,767.0,49923.0,33259.0,15807.0,19970.0,23421.0,14023.0,32420.0,828.0,27763.0,45643.0,46676.0,24476.0,6202.0,32735.0,20409.0,45625.0,13600.0,38404.0,11274.0,32317.0,3443.0,41530.0,5700.0,29322.0,45858.0,49507.0,2847.0,3404.0,2225.0,40864.0,18147.0
16879.0,22762.0,24400.0,6474.0,28799.0,17064.0,21032.0,13216.0,21236.0,32811.0,13943.0,31571.0,14641.0,7041.0,18531.0,18241.0,1999.0,28032.0,25926.0,16123.0,48655.0,30840.0,22019.0,25284.0,26746.0,37294.0,17529.0,36731.0,12633.0,21877.0,29268.0,47395.0,12974.0,11494.0,25033.0,8892.0,43584.0,799.0,20766.0,8629.0,44178.0,48196.0,5639.0,22800.0,32662.0,14783.0,1785.0,43325.0,11634.0,21464.0
26890.0,11414.0,15405.0,2427.0,17849.0,24039.0,38567.0,22399.0,32149.0,16298.0,3536.0,6471.0,18443.0,11065.0,2468.0,17244.0,23699.0,43056.0,4595.0,3014.0,24059.0,13345.0,29823.0,16464.0,47354.0,34720.0,30846.0,5222.0,21547.0,15302.0,20458.0,46347.0,44517.0,3473.0,1121.0,23583.0,37039.0,24638.0,1406.0,11935.0,23028.0,25976.0,24604.0,24836.0,8854.0,43044.0,38910.0,6268.0,26311.0,37541.0
28773.0,5901.0,25299.0,976.0,8358.0,13384.0,20864.0,49858.0,17437.0,2668.0,41206.0,46036.0,23178.0,5669.0,29224.0,23764.0,19215.0,48015.0,23486.0,38749.0,20156.0,19042.0,40442.0,10367.0,33534.0,22461.0,3848.0,49180.0,24152.0,37032.0,4258.0,25831.0,25951.0,40874.0,26757.0,34684.0,33070.0,18877.0,5813.0,23519.0,29020.0,48312.0,26409.0,20063.0,31716.0,26039.0,39398.0,9923.0,4954.0,37257.0
13556.0,8043.0,19956.0,41559.0,19460.0,19229.0,42076.0,40918.0,7156.0,41448.0,36134.0,401.0,37941.0,7353.0,512.0,3727.0,19838.0,44790.0,869.0,47433.0,44525.0,11753.0,28638.0,32021.0,47075.0,4732.0,4114.0,8408.0,37760.0,13010.0,39244.0,6973.0,8780.0,30406.0,34399.0,21799.0,46285.0,1116.0,24054.0,40497.0,40645.0,2949.0,24353.0,32407.0,13151.0,37992.0,39749.0,11066.0,41534.0,19281.0
