Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40
2020.0,4.2,289944.0,3.0,5.0,8501.0,2012.0,2.0,5356.0,2.0,3.0,12092.0,2020.0,4.2,231440.0,4.0,2.0,11171.0,2023.0,2.0,160971.0,2.0,1.0,11780.0,2003.0,2.6,286618.0,3.0,3.0,2867.0,2007.0,2.7,157889.0,4.0,4.0,7242.0,2010.0,3.4,139584.0,3.0,1.0,11208.0,2001.0,4.7,157495.0,2.0,2.0,7950.0,2014.0,2.6
98700.0,3.0,4.0,9926.0,2005.0,3.1,107724.0,2.0,5.0,6545.0,2013.0,1.3,296824.0,2.0,3.0,5863.0,2009.0,4.5,42795.0,4.0,3.0,11444.0,2007.0,4.8,132875.0,3.0,4.0,10842.0,2004.0,2.3,188996.0,2.0,1.0,4820.0,2003.0,2.4,145921.0,5.0,2.0,5981.0,2007.0,3.2,60103.0,2.0,1.0,9697.0,2017.0,2.9,38133.0,5.0
2.0,14837.0,2006.0,4.5,41161.0,2.0,2.0,11576.0,2000.0,3.4,257427.0,3.0,3.0,2351.0,2021.0,1.5,34640.0,2.0,1.0,11207.0,2018.0,1.8,21261.0,2.0,1.0,13374.0,2000.0,4.6,41814.0,2.0,2.0,8863.0,2003.0,2.0,136662.0,5.0,4.0,6266.0,2006.0,2.8,99921.0,4.0,2.0,7701.0,2016.0,3.9,19868.0,3.0,4.0,12402.0
2011.0,1.8,92188.0,2.0,4.0,8856.0,2022.0,3.3,79350.0,5.0,3.0,14413.0,2017.0,2.3,142701.0,5.0,3.0,10645.0,2020.0,4.7,210767.0,3.0,3.0,12584.0,2013.0,1.9,121816.0,4.0,4.0,9963.0,2007.0,3.9,213643.0,4.0,5.0,9327.0,2008.0,3.5,88381.0,3.0,1.0,10232.0,2017.0,2.3,183619.0,5.0,1.0,9327.0,2013.0,3.3
80184.0,3.0,5.0,11696.0,2010.0,3.2,132454.0,4.0,4.0,9150.0,2005.0,4.5,18590.0,2.0,5.0,9728.0,2013.0,3.5,263411.0,4.0,1.0,7231.0,2000.0,1.4,167050.0,5.0,4.0,4159.0,2017.0,2.2,277363.0,2.0,4.0,6852.0,2004.0,1.0,94415.0,2.0,1.0,4411.0,2004.0,1.2,93645.0,3.0,3.0,6627.0,2007.0,4.9,120491.0,2.0
1.0,8690.0,2000.0,3.9,56020.0,2.0,4.0,7879.0,2003.0,3.9,131868.0,5.0,3.0,9762.0,2023.0,3.6,238306.0,5.0,2.0,11833.0,2011.0,2.3,255372.0,5.0,5.0,6092.0,2009.0,2.4,263797.0,2.0,5.0,3924.0,2006.0,2.8,110280.0,3.0,3.0,8494.0,2009.0,1.2,111448.0,5.0,1.0,9271.0,2013.0,1.9,205005.0,2.0,2.0,5799.0
2004.0,4.9,175273.0,3.0,5.0,6694.0,2022.0,3.8,191466.0,3.0,2.0,10670.0,2008.0,1.8,280713.0,3.0,1.0,4685.0,2015.0,2.6,66777.0,5.0,1.0,11864.0,2020.0,3.2,88070.0,3.0,5.0,13538.0,2011.0,2.9,281020.0,3.0,5.0,6679.0,2017.0,1.8,22175.0,2.0,2.0,10556.0,2003.0,2.0,287728.0,3.0,3.0,3245.0,2007.0,3.6
102907.0,3.0,3.0,11241.0,2005.0,2.4,60316.0,2.0,5.0,8293.0,2008.0,1.3,188097.0,2.0,2.0,5538.0,2004.0,4.0,85348.0,3.0,3.0,9093.0,2015.0,4.8,100603.0,4.0,2.0,14887.0,2007.0,2.7,147310.0,5.0,2.0,6953.0,2011.0,4.0,140263.0,4.0,5.0,8594.0,2005.0,3.2,155550.0,5.0,4.0,7689.0,2000.0,4.0,237232.0,4.0
5.0,4355.0,2002.0,4.0,272351.0,3.0,3.0,4252.0,2008.0,4.6,164879.0,2.0,4.0,7802.0,2018.0,2.8,160349.0,4.0,3.0,9093.0,2007.0,1.5,30793.0,5.0,1.0,7084.0,2019.0,1.9,6745.0,2.0,1.0,15065.0,2007.0,4.9,23217.0,2.0,4.0,11635.0,2017.0,2.7,242456.0,2.0,5.0,9550.0,2017.0,1.3,152123.0,5.0,5.0,9957.0
2022.0,3.4,248894.0,5.0,2.0,10622.0,2007.0,2.3,76458.0,3.0,5.0,8970.0,2017.0,3.9,2020.0,3.0,2.0,14059.0,2018.0,2.0,121567.0,4.0,4.0,11568.0,2023.0,3.5,139477.0,2.0,5.0,11710.0,2007.0,4.5,53088.0,3.0,2.0,11638.0,2020.0,1.7,195565.0,2.0,5.0,9388.0,2004.0,4.8,141850.0,3.0,2.0,8263.0,2020.0,4.6
