Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,CompressiveStrength,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.99,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.89,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.27,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.3,266.0,114.0,0.0,228.0,0.0
932.0,670.0,90.0,47.03,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.45,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.29,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07,198.6
132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.02,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.33,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.91,139.6,209.4,0.0,192.0,0.0,1047.0
806.9,90.0,39.36,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.84,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.24,139.6,209.4
0.0,192.0,0.0,1047.0,806.9,3.0,8.06,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.21,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.52,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.3,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15,342.0,38.0,0.0,228.0,0.0,932.0,670.0
180.0,52.12,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.43,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.6,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.91,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.72,475.0,0.0,0.0
228.0,0.0,932.0,594.0,270.0,42.13,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.41,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.08,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0
42.23,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.25,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.46,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.7,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,39.0,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.1,427.5,47.5,0.0,228.0
0.0,932.0,594.0,90.0,41.54,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.08,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.05,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.76,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.78,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.93,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.12,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.19,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.59,198.6,132.4,0.0,192.0,0.0
