customer_id,,F,M,O,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41,Extra_Feature_42,Extra_Feature_43,Extra_Feature_44,Extra_Feature_45
20170421.0,20180425.0,20180109.0,20160304.0,20161111.0,20170621.0,20160809.0,20180508.0,20160331.0,20171209.0,20160821.0,20180615.0,20160503.0,20171207.0,20170908.0,20141221.0,20171023.0,20170910.0,20160617.0,20180502.0,20180214.0,20180627.0,20151024.0,20160818.0,20151115.0,20180106.0,20170407.0,20160825.0,20170627.0,20180127.0,20180622.0,20141128.0,20160111.0,20171016.0,20160306.0,20180630.0,20171222.0,20171003.0,20170225.0,20161115.0,20180519.0,20180515.0,20180128.0,20171211.0,20151224.0,20161229.0,20180125.0,20141211.0,20161018.0,20180226.0
20160417.0,20160731.0,20170816.0,20180114.0,20170415.0,20180223.0,20161115.0,20171228.0,20160725.0,20160503.0,20170328.0,20180501.0,20170821.0,20180412.0,20170917.0,20171211.0,20141024.0,20170622.0,20170821.0,20180301.0,20151010.0,20160324.0,20160405.0,20171109.0,20160322.0,20170118.0,20180710.0,20171014.0,20180317.0,20150902.0,20180601.0,20140518.0,20151229.0,20151214.0,20170713.0,20160102.0,20171106.0,20150829.0,20180122.0,20171014.0,20161202.0,20180502.0,20151119.0,20180427.0,20160825.0,20180322.0,20171130.0,20151108.0,20180710.0,20170715.0
20161111.0,20170912.0,20180717.0,20151030.0,20130815.0,20170126.0,20180312.0,20170423.0,20150824.0,20161211.0,20151024.0,20170424.0,20170903.0,20171109.0,20171220.0,20150920.0,20170531.0,20170802.0,20170402.0,20161210.0,20170910.0,20170604.0,20160107.0,20150618.0,20160224.0,20180513.0,20171013.0,20170626.0,20151116.0,20161218.0,20160320.0,20150209.0,20170405.0,20150221.0,20180102.0,20170624.0,20170912.0,20170319.0,20180120.0,20180523.0,20170827.0,20171008.0,20180308.0,20150104.0,20180401.0,20180116.0,20160211.0,20180126.0,20180416.0,20171128.0
20171121.0,20170829.0,20180629.0,20170526.0,20150123.0,20170805.0,20160502.0,20160701.0,20160906.0,20171125.0,20151206.0,20180606.0,20180627.0,20180222.0,20160516.0,20161028.0,20171013.0,20171030.0,20170507.0,20160711.0,20160424.0,20160316.0,20180429.0,20170912.0,20170918.0,20170827.0,20171122.0,20161120.0,20171017.0,20160107.0,20171005.0,20161015.0,20160229.0,20170128.0,20160404.0,20170606.0,20171207.0,20180221.0,20160528.0,20151218.0,20160412.0,20180120.0,20170922.0,20170308.0,20170130.0,20161124.0,20160811.0,20161205.0,20171012.0,20151120.0
20161223.0,20180711.0,20171123.0,20160106.0,20140130.0,20170919.0,20170729.0,20180712.0,20171001.0,20161024.0,20160609.0,20180302.0,20131019.0,20170920.0,20151122.0,20171217.0,20171229.0,20161115.0,20170910.0,20180319.0,20180506.0,20180325.0,20170508.0,20140107.0,20171206.0,20180323.0,20170806.0,20170926.0,20150623.0,20171003.0,20180215.0,20180726.0,20180417.0,20171014.0,20171119.0,20170430.0,20180101.0,20160426.0,20171224.0,20160403.0,20180214.0,20161019.0,20160409.0,20170420.0,20170305.0,20150809.0,20180114.0,20160627.0,20140224.0,20180312.0
20180211.0,20160116.0,20171118.0,20180616.0,20180206.0,20180724.0,20180721.0,20171217.0,20170925.0,20151006.0,20171103.0,20180115.0,20131214.0,20170616.0,20170212.0,20141011.0,20171102.0,20170906.0,20151018.0,20170802.0,20171004.0,20171005.0,20171129.0,20151024.0,20180422.0,20170729.0,20151030.0,20180126.0,20151128.0,20170118.0,20150204.0,20180715.0,20170309.0,20180610.0,20180227.0,20180325.0,20180423.0,20160210.0,20171216.0,20171101.0,20171003.0,20131203.0,20171030.0,20160503.0,20170802.0,20170802.0,20170804.0,20160127.0,20150213.0,20180609.0
20160605.0,20160506.0,20161103.0,20161015.0,20171210.0,20140110.0,20170603.0,20160823.0,20170612.0,20170904.0,20150930.0,20180310.0,20160826.0,20140712.0,20180313.0,20180417.0,20180607.0,20170928.0,20171011.0,20171104.0,20150530.0,20180424.0,20170219.0,20140415.0,20160226.0,20180606.0,20170823.0,20170226.0,20160705.0,20170430.0,20180118.0,20180620.0,20151217.0,20170923.0,20130824.0,20170802.0,20160707.0,20180306.0,20160507.0,20161126.0,20171123.0,20160828.0,20161124.0,20180707.0,20160215.0,20140328.0,20150920.0,20180208.0,20180122.0,20151223.0
20170829.0,20170317.0,20160605.0,20170905.0,20160930.0,20171029.0,20180529.0,20180706.0,20160620.0,20180714.0,20180615.0,20171015.0,20180607.0,20160723.0,20151127.0,20161223.0,20170716.0,20171105.0,20180501.0,20161230.0,20170902.0,20170328.0,20150207.0,20170806.0,20150210.0,20160618.0,20160623.0,20150729.0,20151214.0,20170708.0,20170116.0,20160819.0,20171208.0,20160425.0,20151123.0,20171126.0,20160109.0,20171222.0,20151103.0,20151229.0,20180117.0,20150816.0,20160610.0,20170413.0,20171121.0,20160119.0,20170910.0,20151125.0,20170715.0,20161210.0
20180123.0,20160628.0,20170811.0,20180722.0,20160121.0,20170215.0,20151017.0,20140626.0,20171212.0,20170110.0,20160910.0,20180207.0,20171110.0,20180705.0,20160724.0,20150224.0,20170604.0,20151026.0,20170127.0,20150218.0,20180410.0,20160807.0,20160303.0,20170727.0,20180215.0,20160430.0,20180624.0,20170805.0,20170820.0,20140125.0,20171030.0,20160701.0,20150809.0,20160209.0,20170321.0,20180123.0,20180106.0,20180407.0,20171118.0,20170924.0,20170614.0,20150107.0,20140202.0,20180201.0,20180717.0,20171023.0,20171123.0,20171214.0,20160626.0,20180423.0
20170615.0,20171208.0,20170927.0,20171213.0,20180118.0,20180104.0,20160712.0,20180528.0,20160901.0,20171205.0,20170113.0,20171225.0,20180514.0,20170827.0,20140627.0,20150814.0,20180410.0,20160928.0,20180128.0,20170402.0,20170827.0,20171023.0,20170514.0,20180417.0,20170516.0,20161027.0,20170815.0,20180423.0,20170827.0,20180605.0,20161013.0,20151212.0,20161231.0,20180215.0,20170902.0,20180702.0,20161221.0,20180610.0,20180115.0,20150827.0,20161208.0,20170729.0,20180609.0,20160420.0,20171130.0,20150814.0,20160509.0,20180327.0,20151230.0,20161127.0
