Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24
1.0,58.0,1.0,15488.0,28.0,15.0,4.0,2.0,1.0,3.0,4.0,14.0,6.0,54.0,17.0,4.0,4.0,4.0,20.0,3.0,2.0,48.0,5.0,13079.0,28.0,6.0,9.0,1.0,2.0,1.0,1.0,6.0,2.0,45.0,1.0,4.0,1.0,2.0,25.0,2.0,3.0,34.0,1.0,13744.0,24.0,24.0,14.0,8.0,3.0,2.0
1.0,77.0,6.0,34.0,2.0,3.0,4.0,4.0,45.0,3.0,4.0,27.0,1.0,6809.0,26.0,10.0,8.0,2.0,3.0,5.0,4.0,49.0,9.0,48.0,18.0,2.0,3.0,1.0,35.0,3.0,5.0,40.0,1.0,10206.0,52.0,29.0,10.0,1.0,2.0,5.0,1.0,64.0,3.0,33.0,0.0,4.0,1.0,3.0,44.0,3.0
6.0,58.0,3.0,16746.0,48.0,15.0,9.0,3.0,4.0,2.0,3.0,66.0,9.0,35.0,9.0,2.0,2.0,3.0,24.0,1.0,7.0,38.0,1.0,18995.0,55.0,29.0,1.0,1.0,4.0,5.0,1.0,43.0,2.0,55.0,13.0,1.0,1.0,3.0,40.0,2.0,8.0,42.0,3.0,19035.0,24.0,4.0,9.0,0.0,3.0,2.0
3.0,30.0,5.0,46.0,12.0,4.0,2.0,4.0,13.0,1.0,9.0,30.0,5.0,14671.0,31.0,18.0,3.0,5.0,4.0,1.0,1.0,42.0,2.0,36.0,8.0,3.0,4.0,2.0,48.0,3.0,10.0,30.0,3.0,16210.0,31.0,18.0,11.0,9.0,3.0,1.0,2.0,76.0,7.0,53.0,5.0,3.0,3.0,4.0,39.0,2.0
11.0,43.0,5.0,8197.0,81.0,25.0,12.0,7.0,3.0,1.0,4.0,47.0,9.0,52.0,5.0,4.0,1.0,2.0,4.0,3.0,12.0,55.0,5.0,18553.0,76.0,17.0,10.0,9.0,2.0,2.0,2.0,81.0,7.0,36.0,18.0,2.0,2.0,3.0,12.0,1.0,13.0,59.0,3.0,10452.0,15.0,12.0,9.0,9.0,4.0,2.0
1.0,80.0,5.0,38.0,9.0,1.0,4.0,1.0,17.0,1.0,14.0,43.0,2.0,11718.0,26.0,7.0,1.0,1.0,2.0,4.0,1.0,80.0,4.0,42.0,2.0,1.0,3.0,4.0,1.0,3.0,15.0,22.0,4.0,17859.0,18.0,16.0,1.0,8.0,3.0,5.0,3.0,60.0,4.0,49.0,17.0,3.0,3.0,1.0,17.0,2.0
16.0,41.0,1.0,5172.0,56.0,11.0,9.0,2.0,3.0,5.0,1.0,74.0,8.0,43.0,18.0,3.0,3.0,3.0,2.0,1.0,17.0,21.0,4.0,16158.0,27.0,14.0,11.0,7.0,3.0,4.0,1.0,83.0,1.0,45.0,4.0,2.0,4.0,2.0,6.0,3.0,18.0,43.0,1.0,19663.0,99.0,3.0,14.0,7.0,1.0,4.0
1.0,9.0,5.0,52.0,10.0,3.0,4.0,1.0,44.0,4.0,19.0,49.0,1.0,14085.0,18.0,19.0,6.0,2.0,1.0,1.0,2.0,28.0,2.0,38.0,9.0,2.0,4.0,4.0,11.0,3.0,20.0,57.0,5.0,6981.0,96.0,18.0,4.0,2.0,1.0,4.0,3.0,47.0,9.0,44.0,16.0,4.0,3.0,1.0,43.0,3.0
21.0,21.0,1.0,8247.0,83.0,10.0,7.0,5.0,2.0,2.0,2.0,97.0,7.0,34.0,3.0,1.0,1.0,1.0,18.0,2.0,22.0,40.0,1.0,13553.0,33.0,6.0,5.0,0.0,3.0,3.0,3.0,80.0,8.0,47.0,17.0,4.0,2.0,4.0,40.0,3.0,23.0,52.0,3.0,9135.0,16.0,13.0,10.0,3.0,4.0,2.0
2.0,61.0,6.0,50.0,17.0,3.0,4.0,2.0,25.0,4.0,24.0,31.0,4.0,8573.0,26.0,10.0,14.0,0.0,2.0,4.0,1.0,12.0,9.0,49.0,0.0,1.0,1.0,4.0,39.0,3.0,25.0,41.0,3.0,16731.0,95.0,18.0,7.0,2.0,2.0,5.0,2.0,43.0,6.0,37.0,13.0,1.0,2.0,3.0,28.0,4.0
26.0,44.0,1.0,10189.0,88.0,26.0,8.0,8.0,2.0,2.0,2.0,46.0,7.0,44.0,7.0,4.0,3.0,2.0,46.0,1.0,27.0,46.0,5.0,17541.0,20.0,20.0,8.0,4.0,4.0,5.0,3.0,63.0,7.0,50.0,1.0,2.0,1.0,1.0,16.0,3.0,28.0,47.0,3.0,13878.0,22.0,26.0,1.0,4.0,3.0,2.0
3.0,90.0,9.0,54.0,18.0,1.0,3.0,4.0,12.0,2.0,29.0,35.0,3.0,14087.0,65.0,16.0,8.0,3.0,1.0,5.0,2.0,52.0,8.0,38.0,14.0,2.0,2.0,3.0,41.0,3.0,30.0,34.0,2.0,16667.0,25.0,25.0,6.0,2.0,3.0,2.0,3.0,89.0,1.0,48.0,1.0,4.0,4.0,4.0,29.0,4.0
31.0,22.0,1.0,5776.0,77.0,25.0,4.0,4.0,3.0,5.0,3.0,91.0,4.0,58.0,3.0,4.0,3.0,2.0,23.0,4.0,32.0,56.0,5.0,12311.0,71.0,6.0,13.0,3.0,2.0,3.0,3.0,76.0,7.0,55.0,0.0,2.0,1.0,3.0,21.0,2.0,33.0,26.0,3.0,10697.0,26.0,13.0,14.0,7.0,2.0,1.0
4.0,75.0,8.0,51.0,18.0,4.0,4.0,1.0,16.0,4.0,34.0,40.0,3.0,17629.0,87.0,4.0,12.0,3.0,2.0,2.0,3.0,43.0,7.0,35.0,9.0,1.0,1.0,2.0,48.0,3.0,35.0,28.0,5.0,11386.0,16.0,23.0,8.0,7.0,1.0,3.0,4.0,27.0,3.0,33.0,0.0,4.0,2.0,3.0,41.0,4.0
36.0,58.0,1.0,11044.0,22.0,14.0,3.0,5.0,1.0,1.0,4.0,1.0,4.0,40.0,19.0,4.0,2.0,2.0,45.0,3.0,37.0,37.0,2.0,12615.0,25.0,1.0,13.0,4.0,1.0,2.0,3.0,56.0,7.0,58.0,14.0,1.0,4.0,1.0,26.0,3.0,38.0,23.0,3.0,18034.0,67.0,28.0,4.0,3.0,3.0,3.0
2.0,56.0,8.0,39.0,3.0,2.0,1.0,3.0,37.0,4.0,39.0,44.0,2.0,8060.0,24.0,20.0,6.0,3.0,2.0,3.0,3.0,33.0,7.0,32.0,6.0,4.0,1.0,4.0,22.0,2.0,40.0,33.0,4.0,13900.0,99.0,5.0,11.0,3.0,4.0,3.0,1.0,86.0,6.0,30.0,6.0,2.0,1.0,4.0,10.0,1.0
41.0,28.0,1.0,8581.0,98.0,8.0,7.0,8.0,3.0,4.0,2.0,57.0,9.0,41.0,17.0,1.0,1.0,1.0,7.0,2.0,42.0,45.0,4.0,5014.0,22.0,12.0,4.0,3.0,1.0,5.0,4.0,51.0,9.0,52.0,12.0,2.0,2.0,3.0,9.0,1.0,43.0,21.0,4.0,15997.0,50.0,2.0,4.0,8.0,4.0,1.0
4.0,28.0,7.0,44.0,9.0,2.0,1.0,1.0,25.0,2.0,44.0,39.0,4.0,13635.0,90.0,12.0,7.0,9.0,4.0,5.0,2.0,34.0,8.0,44.0,7.0,3.0,2.0,1.0,46.0,3.0,45.0,47.0,1.0,16648.0,28.0,5.0,6.0,5.0,2.0,5.0,2.0,74.0,6.0,50.0,9.0,3.0,1.0,2.0,15.0,3.0
46.0,26.0,1.0,10148.0,68.0,22.0,13.0,9.0,4.0,5.0,3.0,47.0,1.0,43.0,13.0,4.0,1.0,4.0,13.0,4.0,47.0,27.0,5.0,17022.0,99.0,5.0,11.0,6.0,1.0,3.0,4.0,32.0,1.0,55.0,13.0,3.0,3.0,1.0,42.0,1.0,48.0,54.0,2.0,8919.0,35.0,13.0,8.0,9.0,2.0,5.0
1.0,74.0,6.0,36.0,19.0,3.0,3.0,2.0,46.0,1.0,49.0,33.0,2.0,18886.0,64.0,9.0,1.0,2.0,4.0,4.0,3.0,72.0,2.0,46.0,10.0,3.0,1.0,1.0,26.0,4.0,50.0,36.0,5.0,9638.0,53.0,10.0,10.0,7.0,2.0,2.0,2.0,77.0,8.0,53.0,5.0,2.0,2.0,1.0,21.0,2.0
