Unique ID,Marriage Type,Education Level,Caste/Religion,Urban/Rural,Family Involvement,No,Yes,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41,Extra_Feature_42
39.0,11.0,37.0,27.0,34.0,27.0,17.0,24.0,25.0,7.0,6.0,24.0,33.0,35.0,29.0,22.0,26.0,28.0,21.0,7.0,17.0,20.0,20.0,22.0,22.0,28.0,7.0,1.0,32.0,13.0,30.0,23.0,19.0,32.0,30.0,27.0,29.0,29.0,30.0,16.0,19.0,18.0,1.0,14.0,2.0,28.0,35.0,30.0,38.0,4.0
1.0,8.0,29.0,39.0,3.0,32.0,10.0,1.0,10.0,19.0,34.0,33.0,23.0,28.0,32.0,7.0,29.0,8.0,35.0,1.0,3.0,24.0,23.0,8.0,37.0,3.0,33.0,28.0,8.0,37.0,34.0,35.0,32.0,24.0,14.0,32.0,16.0,4.0,37.0,21.0,14.0,14.0,31.0,18.0,7.0,10.0,7.0,33.0,23.0,21.0
19.0,3.0,19.0,36.0,29.0,18.0,2.0,1.0,5.0,20.0,11.0,2.0,24.0,1.0,3.0,23.0,12.0,20.0,5.0,37.0,38.0,30.0,9.0,34.0,5.0,35.0,22.0,24.0,17.0,10.0,30.0,23.0,32.0,17.0,17.0,26.0,14.0,9.0,2.0,25.0,39.0,9.0,22.0,4.0,26.0,29.0,14.0,34.0,23.0,37.0
11.0,6.0,18.0,21.0,36.0,38.0,34.0,39.0,17.0,37.0,25.0,38.0,12.0,23.0,22.0,21.0,27.0,31.0,27.0,6.0,27.0,34.0,12.0,7.0,10.0,17.0,26.0,21.0,28.0,9.0,2.0,1.0,36.0,26.0,29.0,21.0,11.0,11.0,36.0,39.0,15.0,35.0,34.0,24.0,22.0,5.0,33.0,36.0,20.0,19.0
35.0,15.0,17.0,34.0,9.0,26.0,2.0,9.0,9.0,17.0,1.0,25.0,26.0,25.0,39.0,35.0,3.0,37.0,30.0,38.0,34.0,12.0,19.0,36.0,13.0,37.0,32.0,39.0,32.0,4.0,30.0,37.0,23.0,39.0,15.0,24.0,29.0,36.0,13.0,32.0,7.0,22.0,28.0,2.0,6.0,28.0,3.0,28.0,20.0,30.0
11.0,28.0,25.0,39.0,33.0,1.0,27.0,22.0,13.0,3.0,39.0,6.0,8.0,27.0,9.0,37.0,33.0,24.0,2.0,15.0,32.0,32.0,24.0,12.0,39.0,2.0,3.0,37.0,17.0,24.0,2.0,2.0,28.0,23.0,37.0,32.0,33.0,1.0,19.0,2.0,30.0,26.0,32.0,6.0,32.0,4.0,11.0,17.0,38.0,24.0
5.0,38.0,34.0,6.0,22.0,11.0,16.0,33.0,9.0,6.0,16.0,29.0,29.0,2.0,3.0,20.0,36.0,19.0,26.0,3.0,19.0,20.0,32.0,7.0,21.0,33.0,39.0,18.0,1.0,11.0,28.0,25.0,23.0,31.0,30.0,33.0,35.0,7.0,16.0,26.0,2.0,1.0,12.0,5.0,37.0,32.0,12.0,9.0,35.0,19.0
16.0,3.0,20.0,24.0,33.0,24.0,11.0,22.0,8.0,36.0,38.0,20.0,35.0,25.0,35.0,25.0,29.0,18.0,25.0,18.0,2.0,35.0,16.0,36.0,33.0,4.0,33.0,14.0,21.0,27.0,20.0,8.0,7.0,3.0,17.0,33.0,12.0,22.0,22.0,30.0,28.0,38.0,38.0,8.0,27.0,27.0,34.0,21.0,30.0,33.0
28.0,16.0,33.0,5.0,19.0,4.0,35.0,17.0,28.0,30.0,29.0,6.0,15.0,35.0,37.0,24.0,29.0,31.0,35.0,33.0,21.0,32.0,23.0,15.0,3.0,33.0,3.0,18.0,25.0,31.0,3.0,24.0,32.0,22.0,23.0,37.0,2.0,27.0,2.0,26.0,17.0,33.0,9.0,39.0,29.0,26.0,7.0,35.0,25.0,24.0
13.0,7.0,36.0,20.0,1.0,8.0,16.0,21.0,14.0,12.0,23.0,15.0,28.0,34.0,2.0,32.0,23.0,22.0,9.0,25.0,22.0,22.0,6.0,15.0,37.0,33.0,8.0,5.0,39.0,39.0,4.0,6.0,32.0,30.0,35.0,16.0,13.0,30.0,19.0,17.0,18.0,19.0,28.0,26.0,37.0,26.0,23.0,9.0,12.0,1.0
1.0,4.0,34.0,32.0,25.0,1.0,16.0,39.0,5.0,22.0,29.0,3.0,25.0,12.0,26.0,16.0,37.0,22.0,29.0,14.0,28.0,5.0,30.0,14.0,5.0,12.0,16.0,26.0,26.0,21.0,39.0,36.0,33.0,30.0,8.0,9.0,37.0,23.0,10.0,5.0,36.0,34.0,31.0,10.0,19.0,32.0,26.0,1.0,5.0,4.0
16.0,24.0,16.0,2.0,28.0,32.0,27.0,2.0,20.0,24.0,12.0,35.0,33.0,33.0,37.0,12.0,3.0,1.0,20.0,33.0,10.0,29.0,13.0,12.0,31.0,2.0,35.0,23.0,17.0,28.0,26.0,8.0,29.0,26.0,10.0,26.0,34.0,7.0,4.0,11.0,7.0,29.0,36.0,25.0,21.0,36.0,10.0,37.0,9.0,24.0
35.0,8.0,35.0,36.0,18.0,39.0,32.0,24.0,23.0,32.0,37.0,12.0,35.0,13.0,23.0,25.0,35.0,30.0,17.0,20.0,25.0,22.0,13.0,14.0,19.0,36.0,12.0,19.0,12.0,9.0,7.0,28.0,14.0,31.0,17.0,19.0,16.0,5.0,35.0,12.0,25.0,21.0,36.0,23.0,16.0,21.0,36.0,39.0,39.0,14.0
31.0,5.0,35.0,23.0,29.0,11.0,18.0,4.0,12.0,9.0,10.0,17.0,38.0,7.0,13.0,9.0,27.0,2.0,2.0,5.0,29.0,37.0,38.0,19.0,8.0,1.0,22.0,17.0,7.0,6.0,25.0,4.0,36.0,6.0,31.0,19.0,39.0,27.0,10.0,26.0,4.0,19.0,39.0,3.0,13.0,28.0,20.0,28.0,8.0,39.0
1.0,29.0,3.0,13.0,28.0,25.0,33.0,38.0,6.0,32.0,21.0,16.0,18.0,21.0,11.0,37.0,36.0,35.0,19.0,20.0,18.0,14.0,15.0,26.0,31.0,1.0,3.0,16.0,23.0,11.0,12.0,10.0,32.0,16.0,34.0,8.0,38.0,12.0,24.0,28.0,8.0,28.0,36.0,26.0,8.0,10.0,28.0,28.0,37.0,36.0
27.0,17.0,9.0,33.0,20.0,13.0,39.0,36.0,28.0,29.0,13.0,35.0,6.0,18.0,5.0,25.0,2.0,10.0,14.0,30.0,5.0,33.0,1.0,18.0,32.0,11.0,21.0,26.0,25.0,31.0,22.0,27.0,13.0,33.0,34.0,35.0,1.0,21.0,6.0,28.0,15.0,17.0,5.0,31.0,5.0,38.0,3.0,23.0,37.0,37.0
10.0,8.0,10.0,19.0,17.0,21.0,14.0,9.0,1.0,13.0,4.0,1.0,14.0,32.0,34.0,28.0,31.0,8.0,39.0,26.0,34.0,3.0,12.0,23.0,1.0,5.0,30.0,30.0,17.0,23.0,15.0,37.0,21.0,14.0,21.0,2.0,11.0,39.0,38.0,34.0,38.0,34.0,18.0,30.0,15.0,16.0,27.0,34.0,38.0,33.0
24.0,15.0,30.0,17.0,5.0,29.0,18.0,4.0,10.0,17.0,10.0,17.0,20.0,24.0,5.0,34.0,6.0,19.0,24.0,2.0,13.0,11.0,23.0,16.0,31.0,11.0,16.0,8.0,4.0,26.0,4.0,25.0,3.0,32.0,3.0,27.0,29.0,32.0,19.0,21.0,25.0,5.0,18.0,28.0,22.0,21.0,6.0,1.0,5.0,12.0
26.0,29.0,34.0,14.0,26.0,27.0,9.0,26.0,22.0,30.0,17.0,26.0,15.0,36.0,1.0,8.0,35.0,15.0,22.0,14.0,26.0,28.0,23.0,1.0,14.0,24.0,2.0,26.0,14.0,7.0,3.0,23.0,18.0,38.0,25.0,35.0,15.0,25.0,37.0,28.0,10.0,39.0,17.0,39.0,22.0,7.0,26.0,25.0,17.0,13.0
20.0,25.0,4.0,10.0,3.0,18.0,9.0,36.0,22.0,34.0,8.0,19.0,37.0,6.0,26.0,34.0,6.0,24.0,37.0,33.0,22.0,21.0,6.0,6.0,4.0,30.0,11.0,30.0,23.0,1.0,31.0,24.0,9.0,3.0,31.0,37.0,36.0,24.0,31.0,6.0,8.0,2.0,20.0,28.0,11.0,4.0,15.0,6.0,30.0,38.0
2.0,24.0,15.0,11.0,8.0,26.0,5.0,6.0,26.0,4.0,19.0,20.0,11.0,33.0,20.0,12.0,1.0,26.0,14.0,38.0,37.0,11.0,36.0,17.0,13.0,3.0,33.0,6.0,10.0,5.0,23.0,10.0,2.0,13.0,8.0,2.0,20.0,1.0,37.0,9.0,17.0,9.0,11.0,15.0,24.0,35.0,38.0,35.0,30.0,31.0
5.0,14.0,11.0,9.0,34.0,12.0,35.0,35.0,35.0,1.0,22.0,29.0,8.0,11.0,37.0,14.0,30.0,33.0,35.0,21.0,37.0,5.0,19.0,14.0,26.0,4.0,25.0,25.0,5.0,18.0,8.0,39.0,14.0,32.0,38.0,33.0,23.0,15.0,33.0,11.0,39.0,25.0,17.0,33.0,2.0,14.0,39.0,6.0,6.0,3.0
7.0,28.0,8.0,15.0,29.0,33.0,30.0,39.0,27.0,36.0,29.0,38.0,7.0,33.0,37.0,27.0,33.0,4.0,22.0,2.0,10.0,5.0,10.0,9.0,33.0,38.0,13.0,31.0,36.0,24.0,15.0,29.0,8.0,5.0,8.0,29.0,4.0,12.0,2.0,27.0,31.0,36.0,36.0,26.0,27.0,12.0,5.0,20.0,11.0,10.0
38.0,6.0,8.0,23.0,26.0,12.0,34.0,26.0,13.0,18.0,25.0,33.0,12.0,36.0,4.0,5.0,37.0,33.0,8.0,28.0,31.0,9.0,29.0,14.0,22.0,11.0,23.0,1.0,23.0,37.0,21.0,26.0,36.0,23.0,1.0,15.0,21.0,9.0,9.0,24.0,10.0,26.0,35.0,25.0,26.0,11.0,38.0,2.0,7.0,18.0
39.0,11.0,37.0,27.0,34.0,27.0,17.0,24.0,25.0,7.0,6.0,24.0,33.0,35.0,29.0,22.0,26.0,28.0,21.0,7.0,17.0,20.0,20.0,22.0,22.0,28.0,7.0,1.0,32.0,13.0,30.0,23.0,19.0,32.0,30.0,27.0,29.0,29.0,30.0,16.0,19.0,18.0,1.0,14.0,2.0,28.0,35.0,30.0,38.0,4.0
