Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40
48356.0,14506800.0,73.0,300.0,9842.0,2066820.0,50.0,210.0,25079.0,1755530.0,90.0,70.0,41404.0,8694840.0,58.0,210.0,33569.0,5371040.0,53.0,160.0,39344.0,5508160.0,73.0,140.0,30197.0,6945310.0,50.0,230.0,42814.0,6422100.0,55.0,150.0,16489.0,2473350.0,78.0,150.0,43626.0,10033980.0,86.0,230.0,41006.0,5330780.0,75.0,130.0,41901.0,12570300.0,63.0,300.0,18843.0,4522320.0
59.0,240.0,35160.0,7032000.0,86.0,200.0,33581.0,6716200.0,73.0,200.0,41641.0,8744610.0,61.0,210.0,39934.0,7986800.0,83.0,200.0,48973.0,8815140.0,81.0,180.0,46622.0,10723060.0,62.0,230.0,30262.0,4539300.0,51.0,150.0,10853.0,2279130.0,74.0,210.0,33059.0,4297670.0,59.0,130.0,16670.0,4834300.0,81.0,290.0,44274.0,7969320.0,82.0,180.0,47805.0,2390250.0,52.0,50.0
48747.0,12186750.0,77.0,250.0,8478.0,423900.0,57.0,50.0,42986.0,9027060.0,53.0,210.0,41744.0,8348800.0,65.0,200.0,39919.0,10378940.0,52.0,260.0,46314.0,10652220.0,55.0,230.0,16396.0,3935040.0,50.0,240.0,44734.0,10736160.0,75.0,240.0,33895.0,8473750.0,74.0,250.0,31834.0,7003480.0,71.0,220.0,29827.0,1491350.0,79.0,50.0,48873.0,10752060.0,80.0,220.0,23473.0,4459870.0
74.0,190.0,18279.0,1096740.0,83.0,60.0,33577.0,8730020.0,56.0,260.0,40762.0,4076200.0,57.0,100.0,24432.0,2687520.0,54.0,110.0,10546.0,2636500.0,55.0,250.0,7956.0,1113840.0,56.0,140.0,10277.0,1233240.0,70.0,120.0,26396.0,6862960.0,50.0,260.0,43122.0,7330740.0,76.0,170.0,44636.0,5802680.0,81.0,130.0,48740.0,5848800.0,83.0,120.0,38854.0,4662480.0,86.0,120.0
35377.0,4952780.0,90.0,140.0,23608.0,6846320.0,69.0,290.0,19958.0,3792020.0,78.0,190.0,46508.0,5580960.0,61.0,120.0,42942.0,6441300.0,60.0,150.0,41525.0,11627000.0,51.0,280.0,35468.0,4610840.0,72.0,130.0,10473.0,2513520.0,65.0,240.0,36845.0,4421400.0,72.0,120.0,19956.0,3791640.0,60.0,190.0,28886.0,6354920.0,54.0,220.0,21063.0,5476380.0,89.0,260.0,29308.0,4396200.0
77.0,150.0,27448.0,3568240.0,51.0,130.0,43996.0,7039360.0,81.0,160.0,12796.0,1663480.0,85.0,130.0,20670.0,3513900.0,89.0,170.0,14434.0,4330200.0,77.0,300.0,37917.0,7204230.0,86.0,190.0,31268.0,2814120.0,61.0,90.0,27420.0,7403400.0,50.0,270.0,49926.0,3494820.0,74.0,70.0,38355.0,4219050.0,74.0,110.0,35303.0,7413630.0,81.0,210.0,9847.0,2067870.0,72.0,210.0
21735.0,3042900.0,77.0,140.0,45961.0,6434540.0,58.0,140.0,18692.0,3364560.0,83.0,180.0,46766.0,9820860.0,60.0,210.0,6244.0,874160.0,86.0,140.0,30045.0,7210800.0,73.0,240.0,29193.0,5838600.0,89.0,200.0,17746.0,2839360.0,78.0,160.0,15402.0,4312560.0,85.0,280.0,18455.0,3321900.0,87.0,180.0,24769.0,6439940.0,52.0,260.0,5936.0,1009120.0,73.0,170.0,23385.0,6781650.0
57.0,290.0,46124.0,5073640.0,76.0,110.0,10225.0,2760750.0,88.0,270.0,26666.0,3199920.0,85.0,120.0,42110.0,3789900.0,78.0,90.0,21473.0,2147300.0,81.0,100.0,34384.0,8939840.0,87.0,260.0,43980.0,9235800.0,52.0,210.0,28721.0,8329090.0,61.0,290.0,37079.0,8528170.0,68.0,230.0,45351.0,7256160.0,75.0,160.0,22676.0,1814080.0,62.0,80.0,13858.0,2217280.0,81.0,160.0
40440.0,11727600.0,70.0,290.0,46682.0,12604140.0,62.0,270.0,33156.0,8289000.0,73.0,250.0,40417.0,5658380.0,73.0,140.0,9747.0,2924100.0,55.0,300.0,24860.0,4723400.0,63.0,190.0,16375.0,1637500.0,71.0,100.0,39856.0,5181280.0,90.0,130.0,6899.0,1172830.0,75.0,170.0,49804.0,12949040.0,77.0,260.0,13232.0,1852480.0,53.0,140.0,47604.0,4284360.0,78.0,90.0,12692.0,2157640.0
56.0,170.0,37071.0,10009170.0,57.0,270.0,15114.0,3476220.0,60.0,230.0,34848.0,8363520.0,76.0,240.0,42072.0,5890080.0,80.0,140.0,5713.0,628430.0,82.0,110.0,45569.0,11392250.0,55.0,250.0,30671.0,8587880.0,50.0,280.0,44415.0,3997350.0,81.0,90.0,24773.0,2229570.0,55.0,90.0,26398.0,3167760.0,68.0,120.0,16191.0,2428650.0,83.0,150.0,18808.0,4325840.0,52.0,230.0
