Product_ID,Brand,Consume_Region,Packaging_Type,Water_Type,Source,Retailer_Type,Sales_Channel,Adults,Children,Elderly,Teenagers,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38
1.45,1.79,3.88,4.56,2.5,1.77,2.66,4.26,2.77,3.38,2.0,2.58,2.93,1.35,3.44,3.88,4.68,4.95,2.99,2.06,1.25,2.15,1.44,2.05,3.55,4.2,4.46,4.52,1.42,2.29,3.55,1.32,2.69,2.18,1.91,3.18,0.72,1.19,1.82,3.2,4.06,1.42,3.14,1.87,2.82,1.94,3.64,1.57,2.49,2.48
2.62,3.27,3.91,2.68,1.71,3.54,2.43,1.25,1.62,2.57,1.56,1.01,2.21,3.67,2.37,2.08,1.05,4.57,4.03,3.64,0.69,4.03,1.83,2.93,4.12,2.43,3.33,3.16,2.16,1.37,2.49,4.49,1.69,2.14,1.58,3.52,4.3,2.83,2.77,0.69,4.98,1.24,3.84,3.54,2.37,0.88,2.83,2.97,1.37,1.84
2.43,4.43,1.96,3.52,2.48,0.75,4.75,4.18,4.24,2.39,0.75,1.86,2.59,4.68,2.85,3.06,2.39,0.91,4.91,2.39,0.98,2.63,0.9,2.12,4.11,3.48,2.06,2.17,1.81,4.89,2.29,3.76,1.08,2.3,1.56,3.79,4.84,1.63,4.79,3.17,1.15,4.06,2.41,1.44,3.81,1.71,1.11,4.03,2.6,4.49
4.65,3.82,3.31,2.16,2.42,3.98,4.07,2.82,0.99,3.31,4.15,3.35,1.95,4.67,2.82,0.52,3.06,1.18,3.1,3.89,2.8,4.53,3.65,4.12,4.3,1.8,4.86,4.22,0.89,3.76,1.54,4.74,3.84,0.92,2.02,1.08,4.66,2.29,0.65,1.97,3.49,4.66,4.64,0.61,3.19,4.11,4.57,1.96,1.59,1.71
4.6,2.9,3.24,1.06,0.6,0.51,1.73,3.62,1.46,3.24,4.81,3.28,3.54,3.92,2.96,2.29,2.28,3.34,3.23,4.87,0.91,4.7,0.55,3.39,1.83,2.83,1.55,3.28,2.39,1.37,0.97,4.7,3.44,0.94,1.78,4.48,4.5,4.92,4.59,3.18,4.86,1.05,4.91,1.22,1.52,4.02,1.43,1.66,1.39,1.07
2.13,1.87,1.4,3.09,4.9,3.41,0.74,4.32,4.22,3.34,3.07,2.16,3.36,1.68,3.1,1.4,1.34,4.23,1.14,2.93,3.16,0.78,1.66,1.86,3.98,2.67,0.73,4.83,1.03,4.97,0.51,2.73,3.83,2.33,2.61,2.91,0.58,4.27,2.84,3.92,4.05,2.24,1.15,2.51,1.57,4.47,1.56,4.8,3.65,2.71
4.79,4.09,2.81,0.66,4.09,4.34,2.8,0.72,0.68,0.85,4.2,3.26,4.19,2.58,0.87,3.99,1.0,3.8,3.76,3.87,3.85,4.17,0.71,1.49,2.57,3.64,1.49,1.21,1.54,2.76,2.21,4.58,1.96,1.44,0.55,2.91,0.5,2.31,2.12,4.25,4.18,1.89,2.34,3.8,3.09,4.76,3.31,2.35,2.2,3.35
0.67,3.03,1.64,2.65,2.02,2.26,2.57,2.1,1.88,2.16,2.9,0.53,2.78,3.38,4.68,1.57,4.6,1.43,0.68,3.25,3.5,0.65,4.86,3.33,1.67,4.02,1.94,4.98,4.31,1.13,2.78,4.59,3.03,3.47,0.71,4.23,4.67,3.01,4.2,0.77,1.53,4.85,0.74,2.07,3.19,3.06,2.42,2.5,3.11,2.23
3.5,3.06,4.0,3.86,4.8,2.51,1.26,3.34,2.88,1.67,1.72,4.57,3.57,3.66,3.37,3.02,1.95,4.93,2.16,4.64,2.35,0.81,3.84,2.61,4.52,4.27,3.56,3.53,3.59,4.9,2.11,4.13,4.09,2.28,4.82,3.68,0.65,2.47,2.72,2.19,3.04,3.79,3.52,1.05,2.4,3.4,3.47,4.86,3.13,1.65
4.33,2.39,1.12,1.68,4.14,1.68,3.21,1.16,3.67,1.7,0.58,3.64,1.6,3.46,0.78,1.16,4.27,2.16,4.37,4.33,3.79,0.57,0.63,4.25,3.41,3.36,1.48,3.93,2.39,1.41,2.69,4.27,1.08,1.61,0.98,0.55,0.95,3.53,4.89,3.51,2.94,4.76,3.64,1.98,3.51,1.28,4.37,2.92,4.0,0.58
