Product_ID,Product_Name,Category,Sub_Category,Customer_Gender,Negative,Neutral,Positive,Very Positive,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41
38.44,408.46,22.04,145.24,862.61,138.96,1356.63,1134.92,674.0,62.71,281.99,182.12,554.23,544.25,632.87,196.31,917.48,172.35,206.43,1190.96,119.47,324.59,112.0,49.89,129.68,30.67,95.48,230.39,325.36,127.73,106.64,174.98,918.36,37.54,657.58,1154.45,1146.26,117.82,190.44,135.03,20.88,81.69,507.89,475.28,162.11,24.79,729.51,309.54,980.31,636.71
346.99,860.57,373.64,228.73,407.96,508.45,1337.29,1417.75,215.63,689.4,504.89,552.77,745.53,418.56,599.39,783.19,941.83,30.11,325.33,875.37,702.89,192.97,545.35,630.0,158.89,138.98,378.83,631.99,490.63,1470.59,1201.94,161.47,668.03,696.33,38.65,394.43,131.89,424.7,46.61,299.04,592.18,641.56,911.19,717.85,495.28,71.16,60.54,15.71,196.16,150.08
77.04,189.04,28.77,96.79,735.67,947.76,922.26,66.46,729.11,637.97,114.34,418.13,477.33,584.05,329.2,312.9,903.34,32.43,706.51,83.1,118.21,494.84,344.14,230.54,186.34,505.69,1066.3,63.54,82.03,429.36,276.02,16.12,456.4,28.86,32.42,635.28,163.21,608.99,12.36,868.48,416.55,840.91,778.11,734.23,1305.95,107.17,1086.84,1387.93,955.13,150.86
19.75,1335.05,190.01,934.59,185.96,1042.99,124.19,199.46,133.03,1116.04,192.92,41.58,57.11,96.89,79.13,127.78,238.45,178.77,855.56,76.22,563.29,994.93,612.15,661.64,929.38,443.78,133.64,39.4,190.36,15.41,508.89,410.43,447.48,5.35,154.37,31.48,174.51,385.43,641.64,141.92,874.36,175.58,142.25,869.57,121.27,346.74,119.09,1241.02,760.82,88.32
766.49,219.83,15.5,340.54,692.35,1231.86,885.59,56.77,607.99,677.52,90.14,972.31,154.47,1431.14,385.92,115.62,53.23,905.02,615.26,73.12,1475.67,883.72,63.63,421.76,86.7,403.85,164.8,150.13,743.53,1484.25,642.54,392.44,1005.99,802.55,63.87,21.04,723.99,36.3,82.03,1100.91,564.01,626.19,198.61,732.37,724.22,352.92,1445.67,960.75,174.75,936.65
441.83,652.47,1407.61,82.49,715.59,757.4,125.53,125.2,1090.91,317.37,74.25,172.82,102.15,1149.11,464.98,89.91,411.86,867.49,721.01,1423.65,168.7,760.7,178.12,312.27,324.48,1052.48,693.71,88.52,460.0,190.86,728.13,171.47,724.52,501.11,135.44,588.57,608.57,98.29,40.03,79.52,336.84,1436.2,737.25,543.09,614.32,577.39,377.06,17.08,898.51,1262.35
33.81,555.97,1360.16,1185.95,10.97,143.43,98.5,46.59,607.25,48.23,287.78,78.28,370.47,84.73,493.69,579.84,162.64,838.54,557.85,179.19,988.43,206.1,71.6,130.35,37.19,18.84,73.45,540.5,35.59,522.73,520.87,134.52,291.52,189.99,879.65,174.88,365.72,664.07,189.25,188.58,76.88,373.0,608.19,90.78,476.32,1219.84,160.97,673.39,80.58,187.05
61.24,463.03,280.97,1044.45,105.14,187.42,49.88,392.85,602.46,146.2,1092.78,574.81,186.3,95.21,158.86,707.08,360.35,287.2,79.51,98.86,142.93,381.35,522.47,117.53,1327.96,626.79,602.8,482.64,452.3,227.84,1029.22,5.49,43.52,158.3,559.48,155.84,587.55,43.37,105.87,700.79,752.97,668.46,75.74,13.72,1315.19,182.46,203.78,1262.45,443.91,160.54
198.69,64.82,530.04,61.93,161.33,80.6,1226.36,18.49,412.25,1349.98,1234.61,23.22,64.5,870.71,1165.03,555.25,618.87,623.88,730.55,155.01,653.38,383.71,166.77,188.63,93.88,797.46,718.19,27.39,763.54,187.12,646.19,637.08,749.87,40.96,63.61,1460.93,638.58,1339.6,164.43,539.71,1401.61,174.07,139.4,130.72,544.63,158.76,37.37,444.87,90.82,18.79
858.71,146.78,378.37,60.0,775.73,129.15,204.84,638.06,215.08,371.1,112.92,109.04,233.14,191.59,25.3,275.79,322.8,151.14,980.69,1035.58,291.61,81.84,955.31,582.49,109.72,556.84,11.11,1204.43,1339.59,324.22,39.34,949.58,942.8,1130.79,124.13,249.12,115.86,100.08,927.71,1376.5,452.22,986.72,107.61,1012.21,182.06,735.77,181.37,161.55,131.41,186.38
