index,TXN_6867343,TXN_3731986,TXN_9303719,TXN_9458126,TXN_4575373,TXN_7482416,TXN_3652209,TXN_1372952,TXN_9728486,TXN_2722661,TXN_8776416,TXN_5422631,TXN_5874772,TXN_4413070,TXN_2490363,TXN_1809665,TXN_7563311,TXN_9634894,TXN_4396807,TXN_4206593,TXN_9939063,TXN_8685338,TXN_6547964,TXN_3314099,TXN_9980736,TXN_3481599,TXN_9057609,TXN_1599706,TXN_1598860,TXN_7138501,TXN_5444504,TXN_4353295,TXN_1543244,TXN_1494700,TXN_1621497,TXN_6398436,TXN_9065245,TXN_6963438,TXN_8312797,TXN_5836005,TXN_4223250,TXN_1019817,TXN_1110407,TXN_6276518,TXN_4740738,TXN_9587232,TXN_6404316,TXN_9331642,TXN_9729422
18.5,29.0,21.5,27.5,12.5,5.0,33.5,27.5,36.5,8.0,6.5,39.5,27.5,24.5,29.0,23.0,35.0,14.0,9.5,18.5,24.5,39.5,33.5,41.0,24.5,36.5,20.0,12.5,35.0,23.0,41.0,38.0,18.5,20.0,38.0,36.5,18.5,39.5,15.5,8.0,21.5,27.5,20.0,27.5,27.5,33.5,11.0,21.5,32.0,38.0
14.0,11.0,26.0,27.5,12.5,39.5,27.5,20.0,36.5,36.5,6.5,24.5,21.5,33.5,30.5,5.0,9.5,36.5,14.0,14.0,32.0,36.5,33.5,33.5,36.5,29.0,35.0,20.0,15.5,41.0,14.0,35.0,39.5,15.5,9.5,24.5,9.5,21.5,9.5,14.0,9.5,12.5,35.0,20.0,30.5,33.5,27.5,30.5,41.0,15.5
18.5,6.5,41.0,11.0,15.5,36.5,17.0,20.0,35.0,39.5,15.5,41.0,15.5,27.5,8.0,38.0,38.0,15.5,38.0,32.0,33.5,18.5,11.0,39.5,35.0,39.5,12.5,41.0,5.0,39.5,6.5,30.5,35.0,24.5,5.0,33.5,8.0,18.5,20.0,8.0,39.5,23.0,12.5,6.5,30.5,36.5,12.5,12.5,35.0,15.5
36.5,23.0,6.5,24.5,14.0,35.0,17.0,41.0,14.0,14.0,41.0,24.5,32.0,20.0,38.0,30.5,20.0,15.5,27.5,33.5,5.0,41.0,23.0,20.0,11.0,6.5,27.5,8.0,33.5,29.0,26.0,33.5,33.5,27.5,33.5,38.0,9.5,14.0,27.5,5.0,23.0,32.0,33.5,20.0,41.0,21.5,36.5,39.5,23.0,30.5
35.0,6.5,29.0,35.0,15.5,5.0,12.5,41.0,38.0,9.5,35.0,18.5,6.5,41.0,15.5,30.5,39.5,5.0,41.0,12.5,21.5,35.0,38.0,27.5,30.5,18.5,38.0,11.0,35.0,41.0,21.5,11.0,5.0,9.5,6.5,8.0,35.0,41.0,36.5,12.5,21.5,6.5,17.0,15.5,12.5,18.5,15.5,24.5,39.5,24.5
20.0,12.5,21.5,15.5,15.5,8.0,11.0,5.0,14.0,15.5,38.0,12.5,17.0,41.0,32.0,26.0,26.0,32.0,6.5,6.5,18.5,39.5,11.0,11.0,5.0,38.0,23.0,29.0,33.5,32.0,39.5,15.5,12.5,8.0,15.5,32.0,23.0,32.0,6.5,20.0,17.0,39.5,20.0,23.0,39.5,15.5,21.5,26.0,11.0,29.0
41.0,23.0,32.0,33.5,6.5,32.0,36.5,35.0,17.0,20.0,23.0,18.5,8.0,29.0,41.0,23.0,15.5,20.0,20.0,30.5,11.0,17.0,39.5,12.5,39.5,5.0,33.5,41.0,11.0,41.0,12.5,24.5,23.0,15.5,21.5,23.0,33.5,8.0,36.5,18.5,24.5,39.5,39.5,30.5,11.0,36.5,11.0,9.5,26.0,26.0
21.5,23.0,8.0,33.5,20.0,36.5,26.0,11.0,9.5,21.5,29.0,26.0,23.0,24.5,5.0,24.5,41.0,15.5,32.0,20.0,14.0,38.0,6.5,24.5,29.0,5.0,29.0,15.5,33.5,23.0,8.0,12.5,27.5,38.0,17.0,8.0,36.5,20.0,20.0,29.0,39.5,36.5,17.0,35.0,41.0,32.0,33.5,38.0,21.5,21.5
24.5,6.5,21.5,33.5,11.0,36.5,32.0,21.5,36.5,36.5,18.5,27.5,14.0,6.5,21.5,38.0,11.0,24.5,21.5,12.5,41.0,6.5,26.0,15.5,26.0,17.0,35.0,17.0,24.5,27.5,9.5,9.5,33.5,11.0,26.0,29.0,20.0,15.5,30.5,11.0,41.0,20.0,5.0,24.5,11.0,9.5,12.5,12.5,39.5,12.5
35.0,30.5,27.5,24.5,11.0,20.0,33.5,36.5,33.5,12.5,35.0,11.0,17.0,36.5,29.0,38.0,6.5,32.0,29.0,41.0,12.5,6.5,36.5,33.5,21.5,12.5,20.0,5.0,21.5,23.0,11.0,6.5,27.5,17.0,24.5,29.0,35.0,20.0,23.0,20.0,9.5,39.5,26.0,9.5,30.5,12.5,17.0,38.0,38.0,5.0
20.0,5.0,15.5,32.0,32.0,36.5,15.5,21.5,11.0,38.0,5.0,23.0,39.5,27.5,21.5,27.5,15.5,15.5,6.5,23.0,30.5,15.5,6.5,23.0,21.5,14.0,15.5,35.0,11.0,35.0,18.5,23.0,20.0,20.0,15.5,41.0,36.5,5.0,23.0,26.0,12.5,24.5,29.0,29.0,29.0,20.0,5.0,29.0,26.0,30.5
30.5,36.5,35.0,21.5,38.0,32.0,26.0,29.0,23.0,6.5,21.5,29.0,38.0,39.5,20.0,20.0,20.0,36.5,9.5,26.0,21.5,29.0,33.5,33.5,29.0,15.5,26.0,8.0,9.5,21.5,9.5,11.0,15.5,12.5,11.0,33.5,15.5,30.5,20.0,9.5,24.5,33.5,33.5,20.0,15.5,12.5,11.0,12.5,18.5,35.0
27.5,5.0,12.5,39.5,29.0,15.5,15.5,27.5,38.0,20.0,11.0,36.5,14.0,21.5,35.0,29.0,32.0,15.5,39.5,26.0,23.0,35.0,20.0,29.0,33.5,6.5,17.0,15.5,36.5,20.0,26.0,35.0,38.0,36.5,21.5,9.5,35.0,29.0,26.0,9.5,23.0,35.0,33.5,36.5,33.5,29.0,21.5,11.0,12.5,27.5
23.0,23.0,30.5,38.0,41.0,30.5,35.0,15.5,5.0,41.0,12.5,9.5,14.0,6.5,11.0,33.5,11.0,21.5,26.0,17.0,14.0,14.0,21.5,6.5,12.5,26.0,33.5,24.5,5.0,6.5,20.0,30.5,23.0,41.0,38.0,20.0,36.5,36.5,26.0,14.0,24.5,39.5,9.5,12.5,20.0,33.5,12.5,21.5,23.0,20.0
27.5,30.5,29.0,12.5,24.5,27.5,12.5,26.0,17.0,9.5,20.0,29.0,24.5,8.0,9.5,8.0,41.0,11.0,32.0,21.5,24.5,36.5,29.0,15.5,26.0,23.0,8.0,32.0,26.0,24.5,20.0,17.0,26.0,26.0,18.5,20.0,6.5,6.5,18.5,26.0,11.0,32.0,12.5,33.5,15.5,5.0,9.5,20.0,24.5,6.5
38.0,29.0,14.0,23.0,21.5,9.5,12.5,39.5,32.0,20.0,8.0,38.0,27.5,12.5,23.0,41.0,33.5,20.0,38.0,33.5,9.5,20.0,21.5,15.5,27.5,6.5,33.5,33.5,14.0,41.0,36.5,17.0,5.0,29.0,20.0,9.5,12.5,5.0,8.0,41.0,6.5,14.0,15.5,15.5,30.5,6.5,32.0,12.5,5.0,35.0
23.0,8.0,18.5,32.0,20.0,15.5,14.0,32.0,23.0,12.5,5.0,23.0,24.5,27.5,26.0,26.0,12.5,17.0,33.5,21.5,17.0,5.0,38.0,5.0,5.0,33.5,8.0,27.5,38.0,32.0,18.5,17.0,41.0,41.0,23.0,11.0,24.5,20.0,41.0,29.0,26.0,18.5,12.5,21.5,14.0,20.0,33.5,32.0,30.5,24.5
21.5,23.0,35.0,18.5,26.0,41.0,36.5,17.0,36.5,39.5,23.0,27.5,24.5,24.5,18.5,8.0,32.0,41.0,20.0,23.0,26.0,17.0,39.5,20.0,32.0,6.5,29.0,41.0,32.0,18.5,30.5,36.5,6.5,23.0,8.0,30.5,18.5,8.0,23.0,33.5,9.5,11.0,41.0,27.5,39.5,15.5,18.5,21.5,38.0,33.5
