index,R0001,R0002,R0003,R0004,R0005,R0006,R0007,R0008,R0009,R0010,R0011,R0012,R0013,R0014,R0015,R0016,R0017,R0018,R0019,R0020,R0021,R0022,R0023,R0024,R0025,R0026,R0027,R0028,R0029,R0030,R0031,R0032,R0033,R0034,R0035,R0036,R0037,R0038,R0039,R0040,R0041,R0042,R0043,R0044,R0045,R0046,R0047,R0048,R0049
1.0,4.0,1.0,2.0,3.0,5.0,5.0,5.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,3.0,4.0,1.0,3.0,3.0,5.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,5.0,2.0,1.0,1.0,3.0,5.0,2.0
4.0,4.0,1.0,4.0,4.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,3.0,4.0,1.0,5.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,4.0,5.0,1.0
2.0,4.0,5.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,5.0,3.0,5.0,3.0,1.0,5.0,4.0,3.0,4.0,1.0,4.0,3.0,2.0,5.0,2.0,3.0,4.0
3.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,5.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,5.0,1.0,3.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,1.0,5.0,4.0
5.0,1.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,4.0,2.0,5.0,2.0,5.0,3.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,2.0,4.0
2.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,4.0,5.0,2.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,5.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,3.0,3.0,4.0
4.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,1.0,5.0,4.0,3.0,5.0,2.0,5.0,5.0,1.0
1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,5.0,4.0,1.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,5.0,2.0,1.0,5.0,5.0,1.0,4.0,4.0,5.0,1.0,5.0,3.0,4.0,4.0,5.0,5.0
5.0,2.0,4.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,4.0,3.0,5.0,1.0,3.0,1.0,5.0,4.0,2.0,5.0,5.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0
3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0
