Country,first_seq,last_seq,variant,2020-06-21,2020-08-31,2020-09-04,2020-09-13,2020-09-22,2020-09-23,2020-09-25,2020-09-26,2020-10-01,2020-10-02,2020-10-15,2020-10-18,2020-10-21,2020-10-24,2020-10-25,2020-10-27,2020-10-30,2020-11-01,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30
6.0,52.0,53.0,53.0,52.0,70.0,52.0,1.0,1.0,17.0,17.0,2.0,2.0,29.0,26.0,28.0,29.0,26.0,41.0,1.0,1.0,1.0,2.0,2.0,12.0,9.0,1.0,1.0,2.0,11.0,14.0,14.0,12.0,13.0,36.0,23.0,25.0,1.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,9.0,9.0,32.0,4.0,4.0
21.0,21.0,2.0,2.0,2.0,2.0,368.0,360.0,494.0,610.0,353.0,19.0,186.0,397.0,11.0,44.0,164.0,4.0,60.0,156.0,4.0,5.0,16.0,1.0,3.0,5.0,3.0,2.0,6.0,1.0,2.0,5.0,33.0,119.0,8.0,5.0,24.0,20.0,19.0,19.0,22.0,77.0,1.0,1.0,36.0,53.0,1.0,2.0,3.0,3.0
2.0,2.0,25.0,2509.0,101.0,2500.0,2462.0,32.0,1081.0,346.0,30.0,339.0,44.0,951.0,3809.0,2660.0,325.0,1.0,40.0,7.0,2506.0,11.0,18.0,1.0,1.0,13.0,340.0,19.0,23.0,1.0,82.0,8.0,556.0,2.0,1.0,67.0,13.0,18.0,18.0,16.0,16.0,37.0,50.0,1.0,1.0,217.0,82.0,13628.0,10829.0,88.0
19.0,73.0,833.0,7.0,606.0,35.0,645.0,24081.0,250.0,747.0,41.0,15.0,20.0,7.0,612.0,22.0,96.0,103.0,2.0,2.0,17.0,1.0,18934.0,23183.0,5.0,8.0,156.0,144.0,11.0,1.0,149.0,6.0,1.0,1.0,1.0,3.0,2.0,6.0,4.0,354.0,16.0,1.0,24.0,349.0,627.0,3716.0,215.0,564.0,414.0,5.0
3381.0,213.0,3800.0,3554.0,3773.0,9143.0,268.0,730.0,279.0,49.0,4708.0,5355.0,15.0,53.0,35.0,34.0,112.0,2.0,48.0,14.0,319.0,157.0,41.0,2.0,1.0,1.0,9.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,59.0,61.0,59.0,63.0,59.0,101.0,1.0,1.0
2.0,37.0,24.0,14.0,14.0,1.0,1.0,1.0,79.0,52.0,4.0,61.0,75.0,87.0,83.0,2085.0,12.0,14.0,18.0,8.0,1512.0,673.0,689.0,59.0,1287.0,8.0,24.0,25.0,195.0,1.0,5.0,9.0,3.0,2.0,2.0,1.0,41.0,136.0,8.0,1684.0,569.0,384.0,3.0,7.0,136.0,410.0,419.0,11.0,407.0,98.0
451.0,46.0,1.0,29.0,19.0,1129.0,579.0,43.0,739.0,13.0,18.0,46.0,51.0,46.0,52.0,46.0,1.0,1.0,1.0,20.0,19.0,4.0,3.0,4.0,5.0,6.0,45.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,1.0,1562.0,3006.0,20512.0,974.0,1526.0,1244.0,5950.0,275.0
1210.0,1388.0,8.0,1.0,56.0,21062.0,3667.0,21370.0,24473.0,24188.0,55934.0,1122.0,1130.0,2085.0,1.0,1.0,84.0,278.0,133.0,2040.0,212.0,63.0,39.0,17.0,25524.0,914.0,4543.0,28884.0,8.0,52.0,1.0,573.0,1378.0,10.0,1146.0,1.0,197.0,1.0,1.0,23.0,4.0,149.0,91.0,75.0,62.0,29.0,50.0,22.0,27.0,27.0
64.0,3.0,1.0,1.0,1.0,22.0,22.0,21.0,2.0,38.0,46.0,70.0,109.0,120.0,73.0,67.0,178.0,142.0,156.0,9.0,11.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,46.0,2.0,37.0,5.0,5.0,1.0,2.0,19.0,23.0,1.0,2.0,1.0,1.0,2.0,24.0,2.0,22.0,2.0,23.0,23.0,21.0,1.0
6.0,87.0,6.0,78.0,77.0,83.0,80.0,415.0,3.0,3.0,2.0,1.0,3.0,8.0,3.0,7.0,3.0,133.0,358.0,2.0,2.0,13.0,1.0,5.0,7.0,3.0,361.0,360.0,240.0,50.0,250.0,21.0,40.0,7.0,4.0,1028.0,7.0,681.0,1064.0,9.0,29.0,6.0,1.0,22.0,5.0,19.0,18.0,44617.0,1553.0,44743.0
