Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23
47.0,0.0,86.0,50.0,0.0,0.0,0.0,2286.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,2.0,99.0,704.0,-50.0,50.0,37.0,0.0,86.0,50.0,0.0,0.0,0.0,2336.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,1.0,2.0,99.0,726.0,-50.0,100.0,49.0,0.0,86.0,50.0,1.0,50.0,0.0,2386.0
0.0,0.0,0.0,0.0,28.0,0.0,4.0,4.0,1.0,99.0,772.0,-50.0,100.0,62.0,1.0,86.0,0.0,1.0,50.0,0.0,2336.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,2.0,2.0,2.0,809.0,-50.0,100.0,36.0,0.0,0.0,0.0,2.0,100.0,0.0,2350.0,0.0,0.0,0.0,0.0,14.0,1.0,8.0,4.0
2.0,10.0,662.0,50.0,50.0,36.0,0.0,86.0,0.0,0.0,0.0,-200.0,1936.0,0.0,0.0,1.0,50.0,13.0,1.0,4.0,1.0,1.0,7.0,729.0,-50.0,0.0,63.0,1.0,86.0,50.0,0.0,0.0,0.0,2286.0,1.0,0.0,0.0,50.0,2.0,1.0,5.0,1.0,2.0,1.0,795.0,-50.0,100.0,51.0,0.0,0.0
100.0,0.0,0.0,0.0,2300.0,0.0,1.0,0.0,50.0,1.0,0.0,3.0,0.0,2.0,99.0,639.0,50.0,50.0,32.0,0.0,86.0,0.0,0.0,0.0,-200.0,1936.0,0.0,1.0,0.0,50.0,16.0,1.0,5.0,1.0,3.0,3.0,724.0,-50.0,0.0,48.0,0.0,0.0,0.0,1.0,200.0,0.0,2350.0,1.0,0.0,0.0
50.0,27.0,0.0,5.0,3.0,2.0,99.0,710.0,-50.0,100.0,33.0,0.0,0.0,0.0,1.0,50.0,-200.0,2050.0,0.0,1.0,0.0,50.0,22.0,1.0,3.0,2.0,1.0,13.0,688.0,50.0,50.0,33.0,0.0,86.0,100.0,1.0,50.0,-200.0,2236.0,0.0,0.0,0.0,0.0,16.0,1.0,3.0,1.0,3.0,6.0,659.0
50.0,0.0,43.0,0.0,0.0,50.0,1.0,200.0,-200.0,2200.0,0.0,1.0,0.0,50.0,29.0,0.0,4.0,1.0,3.0,99.0,745.0,-50.0,100.0,18.0,0.0,0.0,50.0,1.0,50.0,-200.0,1950.0,1.0,0.0,1.0,100.0,22.0,1.0,7.0,0.0,3.0,9.0,777.0,-50.0,50.0,18.0,0.0,86.0,50.0,1.0,50.0
0.0,2386.0,1.0,0.0,0.0,50.0,7.0,1.0,3.0,3.0,2.0,8.0,668.0,50.0,50.0,31.0,0.0,86.0,50.0,0.0,0.0,0.0,2286.0,0.0,1.0,0.0,50.0,23.0,0.0,3.0,3.0,2.0,99.0,775.0,-50.0,100.0,24.0,0.0,0.0,50.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,8.0,1.0
3.0,2.0,3.0,10.0,695.0,50.0,50.0,44.0,0.0,0.0,50.0,1.0,50.0,0.0,2250.0,1.0,0.0,0.0,50.0,4.0,1.0,3.0,1.0,3.0,7.0,739.0,-50.0,100.0,26.0,0.0,0.0,100.0,0.0,0.0,0.0,2250.0,1.0,0.0,0.0,50.0,14.0,1.0,5.0,2.0,1.0,8.0,750.0,-50.0,100.0,18.0
0.0,86.0,50.0,0.0,0.0,-200.0,2136.0,1.0,1.0,0.0,100.0,11.0,1.0,3.0,2.0,1.0,11.0,625.0,50.0,100.0,61.0,1.0,0.0,100.0,0.0,0.0,0.0,2300.0,0.0,1.0,0.0,50.0,25.0,1.0,6.0,4.0,2.0,5.0,698.0,50.0,50.0,36.0,0.0,86.0,50.0,0.0,0.0,0.0,2236.0,0.0
1.0,0.0,50.0,17.0,1.0,7.0,1.0,3.0,1.0,760.0,-50.0,50.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,0.0,1.0,0.0,50.0,1.0,1.0,9.0,3.0,1.0,3.0,749.0,-50.0,100.0,18.0,0.0,0.0,100.0,0.0,0.0,0.0,2150.0,0.0,1.0,1.0,100.0,17.0,0.0,3.0,1.0,2.0
