Post ID,Post Content,Sentiment Label,Post Date and Time,Post Type,de,en,es,fr,zh,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40
386.0,627.0,576.0,664.0,332.0,880.0,32.0,341.0,87.0,846.0,665.0,300.0,375.0,882.0,431.0,106.0,736.0,108.0,235.0,820.0,771.0,195.0,97.0,966.0,621.0,382.0,915.0,853.0,556.0,326.0,931.0,936.0,576.0,113.0,311.0,172.0,747.0,897.0,42.0,515.0,45.0,990.0,266.0,696.0,440.0,739.0,179.0,725.0,840.0,894.0
836.0,434.0,654.0,863.0,820.0,480.0,347.0,490.0,696.0,45.0,307.0,35.0,955.0,570.0,368.0,862.0,483.0,26.0,959.0,127.0,348.0,531.0,903.0,951.0,695.0,147.0,612.0,335.0,369.0,741.0,80.0,584.0,105.0,323.0,456.0,460.0,644.0,273.0,295.0,422.0,577.0,967.0,48.0,383.0,376.0,84.0,282.0,905.0,320.0,954.0
867.0,440.0,210.0,168.0,575.0,868.0,781.0,516.0,445.0,567.0,27.0,44.0,409.0,302.0,388.0,175.0,706.0,61.0,274.0,798.0,41.0,247.0,407.0,814.0,20.0,815.0,110.0,738.0,854.0,597.0,161.0,661.0,699.0,161.0,970.0,577.0,517.0,658.0,136.0,692.0,700.0,51.0,1000.0,687.0,862.0,241.0,66.0,194.0,893.0,997.0
838.0,138.0,285.0,142.0,423.0,204.0,758.0,688.0,660.0,335.0,483.0,841.0,130.0,249.0,773.0,812.0,151.0,847.0,571.0,352.0,14.0,510.0,64.0,104.0,388.0,80.0,689.0,143.0,89.0,575.0,701.0,340.0,46.0,185.0,638.0,436.0,9.0,869.0,550.0,563.0,209.0,406.0,109.0,161.0,405.0,382.0,352.0,511.0,923.0,292.0
457.0,395.0,513.0,676.0,396.0,810.0,586.0,956.0,235.0,656.0,689.0,900.0,803.0,685.0,500.0,947.0,671.0,514.0,184.0,166.0,630.0,558.0,242.0,263.0,995.0,528.0,793.0,938.0,156.0,457.0,6.0,418.0,589.0,274.0,389.0,510.0,288.0,789.0,571.0,326.0,466.0,787.0,296.0,592.0,548.0,851.0,315.0,281.0,916.0,220.0
820.0,514.0,979.0,474.0,886.0,157.0,624.0,559.0,91.0,539.0,855.0,420.0,166.0,661.0,100.0,495.0,120.0,156.0,580.0,16.0,124.0,802.0,698.0,101.0,365.0,157.0,302.0,309.0,976.0,608.0,178.0,612.0,640.0,426.0,459.0,596.0,910.0,876.0,407.0,302.0,666.0,618.0,779.0,933.0,660.0,484.0,752.0,468.0,787.0,957.0
460.0,910.0,640.0,422.0,279.0,306.0,244.0,733.0,411.0,473.0,281.0,896.0,665.0,31.0,282.0,331.0,882.0,267.0,37.0,423.0,537.0,158.0,728.0,223.0,246.0,859.0,206.0,481.0,509.0,566.0,52.0,663.0,895.0,525.0,245.0,464.0,910.0,674.0,922.0,568.0,718.0,363.0,843.0,946.0,333.0,354.0,321.0,519.0,337.0,889.0
572.0,135.0,871.0,757.0,918.0,302.0,606.0,46.0,108.0,441.0,657.0,668.0,800.0,428.0,196.0,547.0,740.0,408.0,244.0,304.0,25.0,99.0,293.0,170.0,445.0,76.0,189.0,801.0,298.0,620.0,197.0,845.0,339.0,861.0,897.0,816.0,471.0,851.0,938.0,566.0,790.0,834.0,295.0,656.0,912.0,756.0,914.0,812.0,724.0,711.0
836.0,461.0,256.0,753.0,634.0,751.0,869.0,656.0,170.0,990.0,354.0,56.0,619.0,306.0,384.0,745.0,171.0,131.0,462.0,113.0,444.0,208.0,581.0,986.0,339.0,116.0,861.0,105.0,617.0,279.0,499.0,936.0,648.0,375.0,48.0,338.0,890.0,578.0,459.0,398.0,612.0,51.0,97.0,721.0,226.0,738.0,680.0,971.0,37.0,362.0
726.0,585.0,49.0,577.0,389.0,857.0,199.0,823.0,652.0,773.0,147.0,43.0,82.0,241.0,744.0,344.0,460.0,678.0,340.0,908.0,230.0,17.0,391.0,206.0,623.0,112.0,49.0,531.0,85.0,514.0,789.0,274.0,815.0,660.0,433.0,942.0,305.0,826.0,831.0,536.0,547.0,475.0,402.0,669.0,517.0,307.0,927.0,246.0,118.0,980.0
