Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41,Extra_Feature_42,Extra_Feature_43
7063.0,76.0,10.0,29.84,2713.95,44372.0,66.0,45.0,16.72,5744.99,19255.0,37.0,17.0,14.3,4101.24,13265.0,14.0,41.0,32.82,3009.14,13375.0,26.0,18.0,11.92,3279.17,37377.0,26.0,32.0,16.24,4687.67,38638.0,92.0,14.0,21.01,5526.83,34950.0,60.0,18.0,28.24,4116.32,29741.0,99.0,44.0,13.08,5841.65,17467.0,42.0,36.0,28.84,3419.13
27702.0,71.0,14.0,11.3,4318.61,47265.0,4.0,44.0,25.38,5206.34,19139.0,97.0,34.0,17.35,4070.21,17820.0,11.0,8.0,17.8,2571.98,45868.0,97.0,19.0,22.45,5031.14,9578.0,54.0,47.0,13.56,3891.12,4310.0,34.0,44.0,24.62,3362.42,38446.0,97.0,20.0,23.99,5672.37,7460.0,32.0,23.0,27.87,3563.67,10880.0,19.0,48.0,22.67,3080.67
37912.0,24.0,43.0,10.38,4993.7,14699.0,83.0,40.0,32.92,4750.37,18274.0,32.0,22.0,17.87,4134.35,23898.0,55.0,16.0,26.95,3930.14,41498.0,39.0,27.0,18.67,4411.53,41238.0,22.0,7.0,31.95,4812.15,35611.0,8.0,5.0,23.67,3342.21,49653.0,63.0,12.0,29.54,5754.96,30259.0,35.0,14.0,15.39,3566.01,27072.0,12.0,30.0,32.89,3409.14
13499.0,75.0,41.0,12.97,4230.09,46749.0,22.0,36.0,15.41,4700.42,22931.0,24.0,34.0,24.93,3991.89,29341.0,2.0,13.0,11.36,4190.25,3800.0,5.0,26.0,20.96,2205.2,49094.0,33.0,11.0,14.17,4483.83,10403.0,25.0,26.0,21.34,2733.45,31919.0,77.0,20.0,22.84,5151.75,1841.0,31.0,13.0,15.09,2086.62,42188.0,64.0,43.0,24.21,5038.34
20920.0,89.0,31.0,32.76,4892.22,12093.0,58.0,35.0,10.34,3882.94,27845.0,85.0,21.0,29.36,4015.46,36832.0,20.0,30.0,31.23,3985.45,45162.0,85.0,45.0,12.92,6493.48,14105.0,73.0,26.0,14.95,4430.49,34914.0,99.0,18.0,33.43,5428.56,16025.0,35.0,16.0,21.39,2914.3,49043.0,26.0,48.0,28.64,6028.93,29898.0,63.0,13.0,18.75,3791.16
12615.0,85.0,45.0,11.64,3872.54,3308.0,2.0,24.0,18.69,2621.96,35031.0,3.0,13.0,13.09,4526.12,3211.0,78.0,10.0,28.31,2499.0,10496.0,21.0,17.0,31.54,2417.11,49997.0,15.0,22.0,26.78,5505.97,38697.0,17.0,35.0,34.03,5134.71,36484.0,69.0,43.0,15.98,5794.31,28587.0,24.0,14.0,23.97,4329.5,28880.0,89.0,10.0,22.15,4923.27
7559.0,27.0,44.0,10.08,4027.56,6590.0,89.0,32.0,31.24,3753.31,44528.0,78.0,22.0,15.51,5868.84,6288.0,33.0,20.0,25.24,2968.2,9627.0,84.0,41.0,25.93,3511.71,36868.0,10.0,22.0,15.14,4307.72,6859.0,25.0,47.0,25.8,3403.93,35988.0,57.0,47.0,17.34,4722.68,18185.0,97.0,15.0,29.66,3580.93,35633.0,44.0,19.0,11.91,5042.08
45359.0,75.0,35.0,26.86,6133.65,36335.0,6.0,33.0,17.4,4999.76,11844.0,2.0,22.0,20.11,2451.63,12454.0,68.0,35.0,29.35,4355.96,13581.0,73.0,7.0,20.74,3495.35,27428.0,48.0,40.0,21.62,5043.32,16004.0,23.0,47.0,10.9,3915.71,48351.0,4.0,18.0,24.42,4745.47,37880.0,34.0,11.0,11.92,4944.4,47181.0,40.0,16.0,11.52,5571.47
13587.0,68.0,13.0,25.69,3540.91,14882.0,48.0,40.0,27.71,4435.54,49038.0,43.0,25.0,14.5,5359.38,41470.0,77.0,3.0,32.58,4290.61,20579.0,44.0,19.0,22.34,3787.26,25780.0,59.0,33.0,32.21,3927.94,44909.0,4.0,4.0,22.06,4805.17,2259.0,22.0,45.0,24.88,2608.53,6654.0,21.0,24.0,15.0,2497.72,13303.0,22.0,32.0,25.42,3448.03
26183.0,68.0,3.0,16.82,3465.03,16434.0,24.0,24.0,17.95,3501.94,4763.0,86.0,32.0,15.79,4209.18,29625.0,55.0,2.0,10.62,3518.13,44361.0,30.0,39.0,22.49,5185.62,560.0,68.0,3.0,33.63,2599.86,8745.0,28.0,30.0,17.72,2728.63,4590.0,6.0,35.0,15.55,2961.76,19842.0,15.0,11.0,11.29,3855.63,40166.0,70.0,35.0,13.05,5343.05
